"Name","Position","Name...ID","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"Alonzo Russell","WR","Alonzo Russell (7147557)",7147557,3000,"Cin@NYJ 01:00PM ET","Cin","Alonzo","Russell","NYJ",0,0
"Alshon Jeffery","WR","Alshon Jeffery (7147639)",7147639,7900,"Chi@Hou 01:00PM ET","Chi","Alshon","Jeffery","Hou",17.28,17.2
"Alstevis Squirewell","RB","Alstevis Squirewell (7147410)",7147410,3000,"GB@Jax 01:00PM ET","GB","Alstevis","Squirewell","Jax",0,0
"Amari Cooper","WR","Amari Cooper (7147576)",7147576,7200,"Oak@NO 01:00PM ET","Oak","Amari","Cooper","NO",19.09,17.4
"Ameer Abdullah","RB","Ameer Abdullah (7147449)",7147449,4900,"Det@Ind 04:25PM ET","Det","Ameer","Abdullah","Ind",11.8,10.4
"Amir Carlisle","WR","Amir Carlisle (7147764)",7147764,3000,"NE@Ari 08:30PM ET","Ari","Amir","Carlisle","NE",0,0
"Andre Davis","WR","Andre Davis (7147487)",7147487,3000,"TB@Atl 01:00PM ET","TB","Andre","Davis","Atl",0,0
"Andre Ellington","RB","Andre Ellington (7147458)",7147458,4100,"NE@Ari 08:30PM ET","Ari","Andre","Ellington","NE",5.16,3.5
"Andre Holmes","WR","Andre Holmes (7147568)",7147568,3200,"Oak@NO 01:00PM ET","Oak","Andre","Holmes","NO",4.48,3.9
"Andre Johnson","WR","Andre Johnson (7147493)",7147493,3900,"Min@Ten 01:00PM ET","Ten","Andre","Johnson","Min",4.42,3.9
"Andre Roberts","WR","Andre Roberts (7147730)",7147730,3000,"Det@Ind 04:25PM ET","Det","Andre","Roberts","Ind",0,3.2
"Andre Williams","RB","Andre Williams (7147435)",7147435,3000,"NYG@Dal 04:25PM ET","NYG","Andre","Williams","Dal",0,0
"Andrew Bonnet","RB","Andrew Bonnet (7147335)",7147335,3000,"Cin@NYJ 01:00PM ET","Cin","Andrew","Bonnet","NYJ",0,0
"Andrew Hawkins","WR","Andrew Hawkins (7147514)",7147514,3800,"Cle@Phi 01:00PM ET","Cle","Andrew","Hawkins","Phi",4.83,4.1
"Andrew Luck","QB","Andrew Luck (7147267)",7147267,8300,"Det@Ind 04:25PM ET","Ind","Andrew","Luck","Det",21.57,24.2
"Andrew Turzilli","WR","Andrew Turzilli (7147501)",7147501,3000,"Min@Ten 01:00PM ET","Ten","Andrew","Turzilli","Min",0,0
"Andy Dalton","QB","Andy Dalton (7147206)",7147206,6800,"Cin@NYJ 01:00PM ET","Cin","Andy","Dalton","NYJ",17.67,17.5
"Andy Jones","WR","Andy Jones (7147723)",7147723,3000,"NYG@Dal 04:25PM ET","Dal","Andy","Jones","NYG",0,0
"Anquan Boldin","WR","Anquan Boldin (7147728)",7147728,4500,"Det@Ind 04:25PM ET","Det","Anquan","Boldin","Ind",10.93,7.7
"Anthony Dable","WR","Anthony Dable (7147727)",7147727,3000,"NYG@Dal 04:25PM ET","NYG","Anthony","Dable","Dal",0,0
"Anthony Denham","TE","Anthony Denham (7147872)",7147872,2500,"Chi@Hou 01:00PM ET","Hou","Anthony","Denham","Chi",0,0
"Anthony Fasano","TE","Anthony Fasano (7147789)",7147789,2500,"Min@Ten 01:00PM ET","Ten","Anthony","Fasano","Min",4.02,1.5
"Anthony Sherman","RB","Anthony Sherman (7147355)",7147355,3000,"SD@KC 01:00PM ET","KC","Anthony","Sherman","SD",0,0
"Antonio Andrews","RB","Antonio Andrews (7147300)",7147300,3000,"Min@Ten 01:00PM ET","Ten","Antonio","Andrews","Min",0,0
"Antonio Gates","TE","Antonio Gates (7147840)",7147840,4200,"SD@KC 01:00PM ET","SD","Antonio","Gates","KC",11.85,10.2
"Antwan Goodley","WR","Antwan Goodley (7147688)",7147688,3000,"Mia@Sea 04:05PM ET","Sea","Antwan","Goodley","Mia",0,0
"Antwane Grant","WR","Antwane Grant (7147561)",7147561,3000,"Cin@NYJ 01:00PM ET","Cin","Antwane","Grant","NYJ",0,0
"Arian Foster","RB","Arian Foster (7147411)",7147411,5800,"Mia@Sea 04:05PM ET","Mia","Arian","Foster","Sea",15.38,11.9
"Arrelious Benn","WR","Arrelious Benn (7147660)",7147660,3000,"GB@Jax 01:00PM ET","Jax","Arrelious","Benn","GB",0,0
"Arthur Lynch","TE","Arthur Lynch (7147780)",7147780,2500,"TB@Atl 01:00PM ET","Atl","Arthur","Lynch","TB",0,0
"Asante Cleveland","TE","Asante Cleveland (7147846)",7147846,2500,"SD@KC 01:00PM ET","SD","Asante","Cleveland","KC",0,0
"Austin Davis","QB","Austin Davis (7147201)",7147201,5000,"Cle@Phi 01:00PM ET","Cle","Austin","Davis","Phi",0,0
"Austin Hooper","TE","Austin Hooper (7147787)",7147787,2500,"TB@Atl 01:00PM ET","Atl","Austin","Hooper","TB",0,3.2
"Austin Johnson","RB","Austin Johnson (7147343)",7147343,3000,"Oak@NO 01:00PM ET","NO","Austin","Johnson","Oak",0,0
"Austin Seferian-Jenkins","TE","Austin Seferian-Jenkins (7147783)",7147783,2800,"TB@Atl 01:00PM ET","TB","Austin","Seferian-Jenkins","Atl",8.85,5.4
"Austin Traylor","TE","Austin Traylor (7147909)",7147909,2500,"NYG@Dal 04:25PM ET","Dal","Austin","Traylor","NYG",0,0
"B.J. Daniels","WR","B.J. Daniels (7147638)",7147638,3000,"Chi@Hou 01:00PM ET","Chi","B.J.","Daniels","Hou",0,0
"Ben Braunecker","TE","Ben Braunecker (7147874)",7147874,2500,"Chi@Hou 01:00PM ET","Chi","Ben","Braunecker","Hou",0,0
"Ben Koyack","TE","Ben Koyack (7147886)",7147886,2500,"GB@Jax 01:00PM ET","Jax","Ben","Koyack","GB",0,0
"Ben Roberts","WR","Ben Roberts (7147512)",7147512,3000,"Min@Ten 01:00PM ET","Ten","Ben","Roberts","Min",0,0
"Bernard Reedy","WR","Bernard Reedy (7147481)",7147481,3000,"TB@Atl 01:00PM ET","TB","Bernard","Reedy","Atl",0,0
"Bilal Powell","RB","Bilal Powell (7147324)",7147324,4300,"Cin@NYJ 01:00PM ET","NYJ","Bilal","Powell","Cin",10.02,7.6
"Bishop Sankey","RB","Bishop Sankey (7147304)",7147304,3000,"Min@Ten 01:00PM ET","Ten","Bishop","Sankey","Min",0,0
"Blake Annen","TE","Blake Annen (7147858)",7147858,2500,"Buf@Bal 01:00PM ET","Buf","Blake","Annen","Bal",0,0
"Blake Bortles","QB","Blake Bortles (7147244)",7147244,7200,"GB@Jax 01:00PM ET","Jax","Blake","Bortles","GB",19.02,18.1
"Blake Renaud","RB","Blake Renaud (7147302)",7147302,3000,"Min@Ten 01:00PM ET","Min","Blake","Renaud","Ten",0,0
"Bobby Rainey","RB","Bobby Rainey (7147431)",7147431,3000,"NYG@Dal 04:25PM ET","NYG","Bobby","Rainey","Dal",0,0
"Braedon Bowman","TE","Braedon Bowman (7147887)",7147887,2500,"GB@Jax 01:00PM ET","Jax","Braedon","Bowman","GB",0,0
"Branden Oliver","RB","Branden Oliver (7147357)",7147357,3000,"SD@KC 01:00PM ET","SD","Branden","Oliver","KC",0,0
"Brandin Cooks","WR","Brandin Cooks (7147574)",7147574,7700,"Oak@NO 01:00PM ET","NO","Brandin","Cooks","Oak",16.81,16.1
"Brandon Allen","QB","Brandon Allen (7147248)",7147248,5000,"GB@Jax 01:00PM ET","Jax","Brandon","Allen","GB",0,0
"Brandon Bolden","RB","Brandon Bolden (7147459)",7147459,3000,"NE@Ari 08:30PM ET","NE","Brandon","Bolden","Ari",0,2.1
"Brandon Bostick","TE","Brandon Bostick (7147821)",7147821,2500,"Cin@NYJ 01:00PM ET","NYJ","Brandon","Bostick","Cin",0,0
"Brandon Burks","RB","Brandon Burks (7147408)",7147408,3000,"GB@Jax 01:00PM ET","GB","Brandon","Burks","Jax",0,0
"Brandon Coleman","WR","Brandon Coleman (7147567)",7147567,3000,"Oak@NO 01:00PM ET","NO","Brandon","Coleman","Oak",4.45,1.2
"Brandon Cottom","RB","Brandon Cottom (7147419)",7147419,3000,"Mia@Sea 04:05PM ET","Sea","Brandon","Cottom","Mia",0,0
"Brandon Doughty","QB","Brandon Doughty (7147255)",7147255,5000,"Mia@Sea 04:05PM ET","Mia","Brandon","Doughty","Sea",0,0
"Brandon LaFell","WR","Brandon LaFell (7147541)",7147541,3900,"Cin@NYJ 01:00PM ET","Cin","Brandon","LaFell","NYJ",9.82,6.7
"Brandon Marshall","WR","Brandon Marshall (7147538)",7147538,7800,"Cin@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Cin",18.93,18.2
"Brandon Myers","TE","Brandon Myers (7147775)",7147775,2500,"TB@Atl 01:00PM ET","TB","Brandon","Myers","Atl",0,0
"Brandon Pettigrew","TE","Brandon Pettigrew (7147913)",7147913,2500,"Det@Ind 04:25PM ET","Det","Brandon","Pettigrew","Ind",1.76,0
"Brandon Ross","RB","Brandon Ross (7147406)",7147406,3000,"GB@Jax 01:00PM ET","GB","Brandon","Ross","Jax",0,0
"Brandon Shippen","WR","Brandon Shippen (7147702)",7147702,3000,"Mia@Sea 04:05PM ET","Mia","Brandon","Shippen","Sea",0,0
"Brandon Tate","WR","Brandon Tate (7147539)",7147539,3000,"Cin@NYJ 01:00PM ET","Cin","Brandon","Tate","NYJ",3.55,0
"Brandon Weeden","QB","Brandon Weeden (7147237)",7147237,5000,"Chi@Hou 01:00PM ET","Hou","Brandon","Weeden","Chi",0,0
"Brandon Wilds","RB","Brandon Wilds (7147285)",7147285,3000,"TB@Atl 01:00PM ET","Atl","Brandon","Wilds","TB",0,0
"Brandon Williams","TE","Brandon Williams (7147893)",7147893,2500,"Mia@Sea 04:05PM ET","Sea","Brandon","Williams","Mia",0,0
"Braxton Miller","WR","Braxton Miller (7147647)",7147647,3000,"Chi@Hou 01:00PM ET","Hou","Braxton","Miller","Chi",4.36,5.3
"Brent Celek","TE","Brent Celek (7147802)",7147802,2700,"Cle@Phi 01:00PM ET","Phi","Brent","Celek","Cle",6.42,4.6
"Breshad Perriman","WR","Breshad Perriman (7147633)",7147633,3700,"Buf@Bal 01:00PM ET","Bal","Breshad","Perriman","Buf",4.92,6.4
"Brett Hundley","QB","Brett Hundley (7147245)",7147245,5000,"GB@Jax 01:00PM ET","GB","Brett","Hundley","Jax",0,0
"Brian Hoyer","QB","Brian Hoyer (7147236)",7147236,5000,"Chi@Hou 01:00PM ET","Chi","Brian","Hoyer","Hou",0,0
"Brian Leonhardt","TE","Brian Leonhardt (7147801)",7147801,2500,"Min@Ten 01:00PM ET","Min","Brian","Leonhardt","Ten",0,0
"Brian Parker","TE","Brian Parker (7147847)",7147847,2500,"SD@KC 01:00PM ET","KC","Brian","Parker","SD",0,0
"Brice Butler","WR","Brice Butler (7147709)",7147709,3000,"NYG@Dal 04:25PM ET","Dal","Brice","Butler","NYG",2.14,1.4
"Brittan Golden","WR","Brittan Golden (7147769)",7147769,3000,"NE@Ari 08:30PM ET","Ari","Brittan","Golden","NE",0,0
"Brock Osweiler","QB","Brock Osweiler (7147238)",7147238,6300,"Chi@Hou 01:00PM ET","Hou","Brock","Osweiler","Chi",16.36,19.1
"Bronson Hill","RB","Bronson Hill (7147332)",7147332,3000,"Cin@NYJ 01:00PM ET","Cin","Bronson","Hill","NYJ",0,0
"Bryan Walters","WR","Bryan Walters (7147659)",7147659,3000,"GB@Jax 01:00PM ET","Jax","Bryan","Walters","GB",0,1.3
"Bryce Petty","QB","Bryce Petty (7147207)",7147207,5000,"Cin@NYJ 01:00PM ET","NYJ","Bryce","Petty","Cin",0,0
"Bryce Williams","TE","Bryce Williams (7147937)",7147937,2500,"NE@Ari 08:30PM ET","NE","Bryce","Williams","Ari",0,0
"Byron Marshall","RB","Byron Marshall (7147318)",7147318,3000,"Cle@Phi 01:00PM ET","Phi","Byron","Marshall","Cle",0,0
"C.J. Fiedorowicz","TE","C.J. Fiedorowicz (7147870)",7147870,2500,"Chi@Hou 01:00PM ET","Hou","C.J.","Fiedorowicz","Chi",3.32,2.4
"C.J. Ham","RB","C.J. Ham (7147307)",7147307,3000,"Min@Ten 01:00PM ET","Min","C.J.","Ham","Ten",0,0
"C.J. Prosise","RB","C.J. Prosise (7147424)",7147424,3900,"Mia@Sea 04:05PM ET","Sea","C.J.","Prosise","Mia",4.7,4.3
"C.J. Spiller","RB","C.J. Spiller (7147340)",7147340,3600,"Oak@NO 01:00PM ET","NO","C.J.","Spiller","Oak",0,6.9
"C.J. Uzomah","TE","C.J. Uzomah (7147823)",7147823,2500,"Cin@NYJ 01:00PM ET","Cin","C.J.","Uzomah","NYJ",2.24,4.2
"Cameron Brate","TE","Cameron Brate (7147782)",7147782,2900,"TB@Atl 01:00PM ET","TB","Cameron","Brate","Atl",6.74,5.8
"Cameron Meredith","WR","Cameron Meredith (7147646)",7147646,3000,"Chi@Hou 01:00PM ET","Chi","Cameron","Meredith","Hou",0,0
"Cardale Jones","QB","Cardale Jones (7147234)",7147234,5000,"Buf@Bal 01:00PM ET","Buf","Cardale","Jones","Bal",0,0
"Carson Palmer","QB","Carson Palmer (7147271)",7147271,7100,"NE@Ari 08:30PM ET","Ari","Carson","Palmer","NE",19.51,19.3
"Carson Wentz","QB","Carson Wentz (7147204)",7147204,5000,"Cle@Phi 01:00PM ET","Phi","Carson","Wentz","Cle",15.51,17.9
"Casey Pierce","TE","Casey Pierce (7147882)",7147882,2500,"GB@Jax 01:00PM ET","GB","Casey","Pierce","Jax",0,0
"Cayleb Jones","WR","Cayleb Jones (7147531)",7147531,3000,"Cle@Phi 01:00PM ET","Phi","Cayleb","Jones","Cle",0,0
"Cedric O'Neal","RB","Cedric O'Neal (7147321)",7147321,3000,"Cle@Phi 01:00PM ET","Phi","Cedric","O'Neal","Cle",0,0
"Cedric Peerman","RB","Cedric Peerman (7147323)",7147323,3000,"Cin@NYJ 01:00PM ET","Cin","Cedric","Peerman","NYJ",0,0
"Chad Henne","QB","Chad Henne (7147243)",7147243,5000,"GB@Jax 01:00PM ET","Jax","Chad","Henne","GB",0,0
"Chandler Worthy","WR","Chandler Worthy (7147554)",7147554,3000,"Cin@NYJ 01:00PM ET","NYJ","Chandler","Worthy","Cin",0,0
"Charcandrick West","RB","Charcandrick West (7147366)",7147366,3500,"SD@KC 01:00PM ET","KC","Charcandrick","West","SD",6.32,10
"Charles Clay","TE","Charles Clay (7147856)",7147856,3400,"Buf@Bal 01:00PM ET","Buf","Charles","Clay","Bal",10.46,9.4
"Charles Johnson","WR","Charles Johnson (7147495)",7147495,3000,"Min@Ten 01:00PM ET","Min","Charles","Johnson","Ten",6.19,0
"Charles Sims","RB","Charles Sims (7147280)",7147280,4400,"TB@Atl 01:00PM ET","TB","Charles","Sims","Atl",10.45,10.4
"Charone Peake","WR","Charone Peake (7147551)",7147551,3000,"Cin@NYJ 01:00PM ET","NYJ","Charone","Peake","Cin",0,1.8
"Chase Daniel","QB","Chase Daniel (7147198)",7147198,5000,"Cle@Phi 01:00PM ET","Phi","Chase","Daniel","Cle",0,1.8
"Chester Rogers","WR","Chester Rogers (7147749)",7147749,3000,"Det@Ind 04:25PM ET","Ind","Chester","Rogers","Det",0,0
"Chris Brown","WR","Chris Brown (7147721)",7147721,3000,"NYG@Dal 04:25PM ET","Dal","Chris","Brown","NYG",0,0
"Chris Conley","WR","Chris Conley (7147600)",7147600,3700,"SD@KC 01:00PM ET","KC","Chris","Conley","SD",6.21,6.1
"Chris Givens","WR","Chris Givens (7147518)",7147518,3000,"Cle@Phi 01:00PM ET","Phi","Chris","Givens","Cle",0,0
"Chris Gragg","TE","Chris Gragg (7147857)",7147857,2500,"Buf@Bal 01:00PM ET","Buf","Chris","Gragg","Bal",0,0
"Chris Harper","WR","Chris Harper (7147770)",7147770,3000,"NE@Ari 08:30PM ET","NE","Chris","Harper","Ari",0,0
"Chris Hogan","WR","Chris Hogan (7147763)",7147763,3600,"NE@Ari 08:30PM ET","NE","Chris","Hogan","Ari",7.88,7.9
"Chris Hubert","WR","Chris Hubert (7147772)",7147772,3000,"NE@Ari 08:30PM ET","Ari","Chris","Hubert","NE",0,0
"Chris Ivory","RB","Chris Ivory (7147399)",7147399,4300,"GB@Jax 01:00PM ET","Jax","Chris","Ivory","GB",0,8.7
"Chris Johnson","RB","Chris Johnson (7147454)",7147454,3700,"NE@Ari 08:30PM ET","Ari","Chris","Johnson","NE",3.52,2.9
"Chris Manhertz","TE","Chris Manhertz (7147837)",7147837,2500,"Oak@NO 01:00PM ET","NO","Chris","Manhertz","Oak",0,0
"Chris Matthews","WR","Chris Matthews (7147620)",7147620,3000,"Buf@Bal 01:00PM ET","Bal","Chris","Matthews","Buf",0,0
"Chris Moore","WR","Chris Moore (7147629)",7147629,3000,"Buf@Bal 01:00PM ET","Bal","Chris","Moore","Buf",0,1
"Chris Pantale","TE","Chris Pantale (7147804)",7147804,2500,"Cle@Phi 01:00PM ET","Phi","Chris","Pantale","Cle",0,0
"Chris Swain","RB","Chris Swain (7147365)",7147365,3000,"SD@KC 01:00PM ET","SD","Chris","Swain","KC",0,0
"Christian Hackenberg","QB","Christian Hackenberg (7147212)",7147212,5000,"Cin@NYJ 01:00PM ET","NYJ","Christian","Hackenberg","Cin",0,0
"Christine Michael","RB","Christine Michael (7147414)",7147414,3700,"Mia@Sea 04:05PM ET","Sea","Christine","Michael","Mia",12.44,11.5
"Chuck Jacobs","WR","Chuck Jacobs (7147630)",7147630,3000,"Buf@Bal 01:00PM ET","Bal","Chuck","Jacobs","Buf",0,0
"Clay Harbor","TE","Clay Harbor (7147928)",7147928,2500,"NE@Ari 08:30PM ET","NE","Clay","Harbor","Ari",0,0
"Clayton Echard","TE","Clayton Echard (7147899)",7147899,2500,"Mia@Sea 04:05PM ET","Sea","Clayton","Echard","Mia",0,0
"Clive Walford","TE","Clive Walford (7147835)",7147835,3000,"Oak@NO 01:00PM ET","Oak","Clive","Walford","NO",8.36,8.8
"Coby Fleener","TE","Coby Fleener (7147830)",7147830,4900,"Oak@NO 01:00PM ET","NO","Coby","Fleener","Oak",14.87,13.2
"Cody Core","WR","Cody Core (7147556)",7147556,3000,"Cin@NYJ 01:00PM ET","Cin","Cody","Core","NYJ",0,0
"Cody Kessler","QB","Cody Kessler (7147203)",7147203,5000,"Cle@Phi 01:00PM ET","Cle","Cody","Kessler","Phi",0,0
"Cole Beasley","WR","Cole Beasley (7147711)",7147711,3200,"NYG@Dal 04:25PM ET","Dal","Cole","Beasley","NYG",7.31,7.4
"Cole Wick","TE","Cole Wick (7147925)",7147925,2500,"Det@Ind 04:25PM ET","Det","Cole","Wick","Ind",0,0
"Colton Underwood","TE","Colton Underwood (7147834)",7147834,2500,"Oak@NO 01:00PM ET","Oak","Colton","Underwood","NO",0,0
"Connor Cook","QB","Connor Cook (7147218)",7147218,5000,"Oak@NO 01:00PM ET","Oak","Connor","Cook","NO",0,0
"Connor Hamlett","TE","Connor Hamlett (7147808)",7147808,2500,"Cle@Phi 01:00PM ET","Cle","Connor","Hamlett","Phi",0,0
"Connor Shaw","QB","Connor Shaw (7147241)",7147241,5000,"Chi@Hou 01:00PM ET","Chi","Connor","Shaw","Hou",0,0
"Cordarrelle Patterson","WR","Cordarrelle Patterson (7147507)",7147507,3000,"Min@Ten 01:00PM ET","Min","Cordarrelle","Patterson","Ten",0,0
"Corey Coleman","WR","Corey Coleman (7147534)",7147534,5100,"Cle@Phi 01:00PM ET","Cle","Corey","Coleman","Phi",12.57,14.7
"Corey Fuller","WR","Corey Fuller (7147739)",7147739,3000,"Det@Ind 04:25PM ET","Det","Corey","Fuller","Ind",0,0
"Corey Grant","RB","Corey Grant (7147404)",7147404,3000,"GB@Jax 01:00PM ET","Jax","Corey","Grant","GB",0,0
"Corey Washington","WR","Corey Washington (7147491)",7147491,3000,"TB@Atl 01:00PM ET","Atl","Corey","Washington","TB",0,0
"Crockett Gillmore","TE","Crockett Gillmore (7147859)",7147859,2600,"Buf@Bal 01:00PM ET","Bal","Crockett","Gillmore","Buf",10.03,4.8
"D.J. Foster","RB","D.J. Foster (7147468)",7147468,3000,"NE@Ari 08:30PM ET","NE","D.J.","Foster","Ari",0,0
"D.J. Tialavea","TE","D.J. Tialavea (7147779)",7147779,2500,"TB@Atl 01:00PM ET","Atl","D.J.","Tialavea","TB",0,0
"Da'Ron Brown","WR","Da'Ron Brown (7147598)",7147598,3000,"SD@KC 01:00PM ET","KC","Da'Ron","Brown","SD",0,0
"Dak Prescott","QB","Dak Prescott (7147263)",7147263,5000,"NYG@Dal 04:25PM ET","Dal","Dak","Prescott","NYG",18.73,19.5
"Damien Williams","RB","Damien Williams (7147422)",7147422,3000,"Mia@Sea 04:05PM ET","Mia","Damien","Williams","Sea",3.21,1.7
"Dan Orlovsky","QB","Dan Orlovsky (7147264)",7147264,5000,"Det@Ind 04:25PM ET","Det","Dan","Orlovsky","Ind",0,0
"Daniel Braverman","WR","Daniel Braverman (7147650)",7147650,3000,"Chi@Hou 01:00PM ET","Chi","Daniel","Braverman","Hou",0,0
"Daniel Brown","WR","Daniel Brown (7147625)",7147625,3000,"Buf@Bal 01:00PM ET","Bal","Daniel","Brown","Buf",0,0
"Daniel Lasco","RB","Daniel Lasco (7147349)",7147349,3000,"Oak@NO 01:00PM ET","NO","Daniel","Lasco","Oak",0,1
"Daniel Thomas","RB","Daniel Thomas (7147415)",7147415,3000,"Mia@Sea 04:05PM ET","Mia","Daniel","Thomas","Sea",0,0
"Danny Amendola","WR","Danny Amendola (7147755)",7147755,4200,"NE@Ari 08:30PM ET","NE","Danny","Amendola","Ari",7.35,4.3
"Danny Vitale","TE","Danny Vitale (7147786)",7147786,2500,"TB@Atl 01:00PM ET","TB","Danny","Vitale","Atl",0,0
"Danny Woodhead","RB","Danny Woodhead (7147354)",7147354,5000,"SD@KC 01:00PM ET","SD","Danny","Woodhead","KC",12.14,11.8
"Darius Jackson","RB","Darius Jackson (7147439)",7147439,3000,"NYG@Dal 04:25PM ET","Dal","Darius","Jackson","NYG",0,1.2
"Darius Jennings","WR","Darius Jennings (7147526)",7147526,3000,"Cle@Phi 01:00PM ET","Cle","Darius","Jennings","Phi",0,0
"Darius Powe","WR","Darius Powe (7147719)",7147719,3000,"NYG@Dal 04:25PM ET","NYG","Darius","Powe","Dal",0,0
"Darrel Young","RB","Darrel Young (7147383)",7147383,3000,"Chi@Hou 01:00PM ET","Chi","Darrel","Young","Hou",0,0
"Darren Fells","TE","Darren Fells (7147926)",7147926,2700,"NE@Ari 08:30PM ET","Ari","Darren","Fells","NE",5.11,3.8
"Darren McFadden","RB","Darren McFadden (7147427)",7147427,4200,"NYG@Dal 04:25PM ET","Dal","Darren","McFadden","NYG",0,0
"Darren Sproles","RB","Darren Sproles (7147308)",7147308,4200,"Cle@Phi 01:00PM ET","Phi","Darren","Sproles","Cle",10.5,9.8
"Darren Waller","TE","Darren Waller (7147860)",7147860,2500,"Buf@Bal 01:00PM ET","Bal","Darren","Waller","Buf",0,0
"Darrin Peterson","WR","Darrin Peterson (7147651)",7147651,3000,"Chi@Hou 01:00PM ET","Chi","Darrin","Peterson","Hou",0,0
"Darrin Reaves","RB","Darrin Reaves (7147364)",7147364,3000,"SD@KC 01:00PM ET","KC","Darrin","Reaves","SD",0,0
"Davante Adams","WR","Davante Adams (7147676)",7147676,4300,"GB@Jax 01:00PM ET","GB","Davante","Adams","Jax",7.32,8.4
"David Cobb","RB","David Cobb (7147301)",7147301,3000,"Min@Ten 01:00PM ET","Ten","David","Cobb","Min",0,0
"David Fales","QB","David Fales (7147240)",7147240,5000,"Chi@Hou 01:00PM ET","Chi","David","Fales","Hou",0,0
"David Fluellen","RB","David Fluellen (7147298)",7147298,3000,"Min@Ten 01:00PM ET","Ten","David","Fluellen","Min",0,0
"David Glidden","WR","David Glidden (7147485)",7147485,3000,"TB@Atl 01:00PM ET","Atl","David","Glidden","TB",0,0
"David Johnson","RB","David Johnson (7147465)",7147465,7500,"NE@Ari 08:30PM ET","Ari","David","Johnson","NE",18.71,16.9
"David Johnson","RB","David Johnson (7147465)",7147465,7500,"NE@Ari 08:30PM ET","Ari","David","Johnson","NE",18.71,1
