"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Actual","Projection_reg_split","Projection_reg","FreqInd"
"WR","Tyrell Williams (7852393)","Tyrell Williams",7852393,6100,"TB@SD 04:25PM ET","SD","Tyrell","Williams","TB",14.39,14.3,1,0.2,0,14.2605584072673,13.8438104885537,1
"RB","Mark Ingram (7852150)","Mark Ingram",7852150,6000,"Det@NO 01:00PM ET","NO","Mark","Ingram","Det",13.64,13.1,5,0.0782608695652174,0,13.2725482073793,12.8818111366871,1
"WR","DeAndre Hopkins (7852305)","DeAndre Hopkins",7852305,6000,"Hou@GB 01:00PM ET","Hou","DeAndre","Hopkins","GB",13.7,13.9,1,0.26865671641791,0,13.7305469588036,13.3310865694902,1
"WR","Alshon Jeffery (7852340)","Alshon Jeffery",7852340,6000,"SF@Chi 01:00PM ET","Chi","Alshon","Jeffery","SF",0,0,1,0.179611650485437,0,0,0,1
"WR","Michael Crabtree (7852349)","Michael Crabtree",7852349,6000,"Buf@Oak 04:05PM ET","Oak","Michael","Crabtree","Buf",16.23,13.5,2,0.245495495495495,0,14.6691095622486,14.2238741240198,1
"QB","Carson Palmer (7852123)","Carson Palmer",7852123,6000,"Was@Ari 04:25PM ET","Ari","Carson","Palmer","Was",18.17,19.2,0,0,0,18.6221699995359,18.0851591305091,1
"WR","Emmanuel Sanders (7852290)","Emmanuel Sanders",7852290,5900,"Den@Jax 01:00PM ET","Den","Emmanuel","Sanders","Jax",14.02,13.8,1,0.279373368146214,0,13.8226629540061,13.4178790061046,1
"QB","Eli Manning (7852117)","Eli Manning",7852117,5900,"NYG@Pit 04:25PM ET","NYG","Eli","Manning","Pit",18.56,18.7,0,0,0,18.530894508837,17.9909632753677,1
"RB","Thomas Rawls (7852251)","Thomas Rawls",7852251,5900,"Car@Sea 08:30PM ET","Sea","Thomas","Rawls","Car",12.74,12.4,8,0.0314285714285714,0,12.4852724337362,12.1187662591116,0
"RB","Theo Riddick (7852151)","Theo Riddick",7852151,5800,"Det@NO 01:00PM ET","Det","Theo","Riddick","NO",17.47,15.8,4,0.156716417910448,0,16.4727201963242,15.9814986014222,1
"WR","Allen Robinson (7852301)","Allen Robinson",7852301,5800,"Den@Jax 01:00PM ET","Jax","Allen","Robinson","Den",13.12,13.9,1,0.247240618101545,0,13.4660211979008,13.0779199065449,1
"WR","Jamison Crowder (7852379)","Jamison Crowder",7852379,5800,"Was@Ari 04:25PM ET","Was","Jamison","Crowder","Ari",13.63,14,3,0.168141592920354,0,13.7524506881283,13.3534176944901,1
"WR","Jordan Matthews (7852317)","Jordan Matthews",7852317,5700,"Phi@Cin 01:00PM ET","Phi","Jordan","Matthews","Cin",14.94,16.6,1,0.235142118863049,0,15.7494746016482,15.3002539359005,1
"WR","Steve Smith Sr. (7852325)","Steve Smith Sr.",7852325,5700,"Mia@Bal 01:00PM ET","Bal","Steve","Smith","Mia",13.07,13,3,0.155555555555556,0,12.9587539832653,12.5801236939543,0
"QB","Tyrod Taylor (7852111)","Tyrod Taylor",7852111,5700,"Buf@Oak 04:05PM ET","Buf","Tyrod","Taylor","Oak",18.83,18.3,0,0,0,18.4387188025573,17.8972738329034,1
"RB","DeAngelo Williams (7852219)","DeAngelo Williams",7852219,5700,"NYG@Pit 04:25PM ET","Pit","DeAngelo","Williams","NYG",0,0,6,0.0528735632183908,0,0,0,0
"RB","Doug Martin (7852237)","Doug Martin",7852237,5700,"TB@SD 04:25PM ET","TB","Doug","Martin","SD",13.39,11,8,0.0306603773584906,0,12.0281141868153,11.6620874077815,1
"RB","Lamar Miller (7852178)","Lamar Miller",7852178,5600,"Hou@GB 01:00PM ET","Hou","Lamar","Miller","GB",13.65,12.5,5,0.0895522388059701,0,12.954133483207,12.5688617456399,1
"WR","DeVante Parker (7852331)","DeVante Parker",7852331,5600,"Mia@Bal 01:00PM ET","Mia","DeVante","Parker","Bal",0,0,2,0.192771084337349,0,0,0,1
"RB","LeGarrette Blount (7852160)","LeGarrette Blount",7852160,5500,"LA@NE 01:00PM ET","NE","LeGarrette","Blount","LA",11.22,9,9,0.0177215189873418,0,9.96183793407573,9.65718044792951,1
"QB","Ryan Tannehill (7852104)","Ryan Tannehill",7852104,5500,"Mia@Bal 01:00PM ET","Mia","Ryan","Tannehill","Bal",16.69,15.2,0,0,0,15.7940031426464,15.3237187556736,1
"WR","Sammy Watkins (7852356)","Sammy Watkins",7852356,5500,"Buf@Oak 04:05PM ET","Buf","Sammy","Watkins","Oak",11.94,15,7,0.0404984423676012,0,13.5199698722477,13.1445996404966,0
"TE","Jimmy Graham (7852491)","Jimmy Graham",7852491,5500,"Car@Sea 08:30PM ET","Sea","Jimmy","Graham","Car",14.57,12.3,2,0.205714285714286,0,13.2660675650821,12.8646650078768,1
"QB","Alex Smith (7852071)","Alex Smith",7852071,5400,"KC@Atl 01:00PM ET","KC","Alex","Smith","Atl",16.07,20,15,0.00246305418719212,0,18.0950383310464,17.5916069909641,1
"WR","Randall Cobb (7852303)","Randall Cobb",7852303,5400,"Hou@GB 01:00PM ET","GB","Randall","Cobb","Hou",13.49,11.3,3,0.174468085106383,0,12.2352098332029,11.8643939991831,1
"WR","Jarvis Landry (7852330)","Jarvis Landry",7852330,5400,"Mia@Bal 01:00PM ET","Mia","Jarvis","Landry","Bal",14.84,16.8,1,0.27710843373494,0,15.8115252162218,15.3623759557586,1
"RB","Latavius Murray (7852213)","Latavius Murray",7852213,5400,"Buf@Oak 04:05PM ET","Oak","Latavius","Murray","Buf",14.9,13.2,5,0.0788288288288288,0,13.9010368711879,13.4846796094754,1
"WR","Jeremy Maclin (7852257)","Jeremy Maclin",7852257,5300,"KC@Atl 01:00PM ET","KC","Jeremy","Maclin","Atl",0,0,4,0.137931034482759,0,0,0,1
"QB","Carson Wentz (7852100)","Carson Wentz",7852100,5300,"Phi@Cin 01:00PM ET","Phi","Carson","Wentz","Cin",16.16,15.5,0,0,0,15.7137690832257,15.251033971807,1
"TE","Tyler Eifert (7852442)","Tyler Eifert",7852442,5300,"Phi@Cin 01:00PM ET","Cin","Tyler","Eifert","Phi",15.56,14.4,5,0.0861244019138756,0,14.8479999702462,14.4073944791609,0
"QB","Joe Flacco (7852102)","Joe Flacco",7852102,5300,"Mia@Bal 01:00PM ET","Bal","Joe","Flacco","Mia",17.96,14.7,0,0,0,16.1040770822827,15.6136378374148,1
"RB","Carlos Hyde (7852203)","Carlos Hyde",7852203,5300,"SF@Chi 01:00PM ET","SF","Carlos","Hyde","Chi",15.57,14,6,0.0670391061452514,0,14.6372437504583,14.2002165326176,1
"RB","Ameer Abdullah (7852155)","Ameer Abdullah",7852155,5200,"Det@NO 01:00PM ET","Det","Ameer","Abdullah","NO",0,0,8,0.0124378109452736,0,0,0,0
"QB","Brock Osweiler (7852093)","Brock Osweiler",7852093,5200,"Hou@GB 01:00PM ET","Hou","Brock","Osweiler","GB",15.06,15.5,14,0.00248756218905473,0,15.2120822953066,14.7708903007038,1
"QB","Andy Dalton (7852097)","Andy Dalton",7852097,5200,"Phi@Cin 01:00PM ET","Cin","Andy","Dalton","Phi",18.26,17.5,0,0,0,17.7481198130977,17.2253863344069,1
"WR","Dontrelle Inman (7852383)","Dontrelle Inman",7852383,5200,"TB@SD 04:25PM ET","SD","Dontrelle","Inman","TB",9.91,9.3,2,0.175308641975309,0,9.52586233413059,9.2440301518261,0
"RB","Jonathan Stewart (7852247)","Jonathan Stewart",7852247,5200,"Car@Sea 08:30PM ET","Car","Jonathan","Stewart","Sea",11.48,10.5,8,0.035,0,10.8878572304674,10.5639547857879,1
"WR","Willie Snead (7852273)","Willie Snead",7852273,5100,"Det@NO 01:00PM ET","NO","Willie","Snead","Det",14.24,13.2,3,0.156521739130435,0,13.6000247984365,13.1965934068135,1
"QB","Trevor Siemian (7852087)","Trevor Siemian",7852087,5100,"Den@Jax 01:00PM ET","Den","Trevor","Siemian","Jax",0,0,0,0,0,0,0,1
"RB","Devontae Booker (7852175)","Devontae Booker",7852175,5100,"Den@Jax 01:00PM ET","Den","Devontae","Booker","Jax",14.59,15,5,0.0704960835509138,0,14.7285789522346,14.3013093936089,1
"RB","C.J. Prosise (7852252)","C.J. Prosise",7852252,5100,"Car@Sea 08:30PM ET","Sea","C.J.","Prosise","Car",0,0,6,0.0571428571428571,0,0,0,1
"TE","Greg Olsen (7852490)","Greg Olsen",7852490,5100,"Car@Sea 08:30PM ET","Car","Greg","Olsen","Sea",14.34,15.4,1,0.2325,0,14.8298762364764,14.4037287210024,1
"QB","Matt Schaub (7852072)","Matt Schaub",7852072,5000,"KC@Atl 01:00PM ET","Atl","Matt","Schaub","KC",0,0,0,0,0,0,0,1
"QB","Nick Foles (7852073)","Nick Foles",7852073,5000,"KC@Atl 01:00PM ET","KC","Nick","Foles","Atl",0,0,0,0,0,0,0,1
"QB","Tyler Bray (7852074)","Tyler Bray",7852074,5000,"KC@Atl 01:00PM ET","KC","Tyler","Bray","Atl",0,0,0,0,0,0,0,1
"QB","Dan Orlovsky (7852076)","Dan Orlovsky",7852076,5000,"Det@NO 01:00PM ET","Det","Dan","Orlovsky","NO",0,0,0,0,0,0,0,1
"QB","Luke McCown (7852077)","Luke McCown",7852077,5000,"Det@NO 01:00PM ET","NO","Luke","McCown","Det",0,0,0,0,0,0,0,1
"QB","Jake Rudock (7852079)","Jake Rudock",7852079,5000,"Det@NO 01:00PM ET","Det","Jake","Rudock","NO",0,0,0,0,0,0,0,1
"QB","Case Keenum (7852081)","Case Keenum",7852081,5000,"LA@NE 01:00PM ET","LA","Case","Keenum","NE",0,0,0,0,0,0,0,1
"QB","Jimmy Garoppolo (7852082)","Jimmy Garoppolo",7852082,5000,"LA@NE 01:00PM ET","NE","Jimmy","Garoppolo","LA",0,0,13,0.00253164556962025,0,0,0,1
"QB","Sean Mannion (7852083)","Sean Mannion",7852083,5000,"LA@NE 01:00PM ET","LA","Sean","Mannion","NE",0,0,0,0,0,0,0,1
"QB","Jared Goff (7852084)","Jared Goff",7852084,5000,"LA@NE 01:00PM ET","LA","Jared","Goff","NE",14.76,13.3,0,0,0,13.891015077645,13.4764561372234,1
"RB","Todd Gurley (7852167)","Todd Gurley",7852167,5000,"LA@NE 01:00PM ET","LA","Todd","Gurley","NE",13.13,12.5,5,0.109042553191489,0,12.7169724561907,12.341884737482,1
"WR","Kenny Britt (7852281)","Kenny Britt",7852281,5000,"LA@NE 01:00PM ET","LA","Kenny","Britt","NE",14.71,11.3,1,0.228723404255319,0,12.7916260888949,12.3969169798612,1
"QB","Chad Henne (7852085)","Chad Henne",7852085,5000,"Den@Jax 01:00PM ET","Jax","Chad","Henne","Den",0,0,0,0,0,0,0,1
"QB","Austin Davis (7852086)","Austin Davis",7852086,5000,"Den@Jax 01:00PM ET","Den","Austin","Davis","Jax",0,0,0,0,0,0,0,1
"QB","Blake Bortles (7852088)","Blake Bortles",7852088,5000,"Den@Jax 01:00PM ET","Jax","Blake","Bortles","Den",17.79,15.6,0,0,0,16.5110069393344,16.0154053157846,1
"QB","Brandon Allen (7852089)","Brandon Allen",7852089,5000,"Den@Jax 01:00PM ET","Jax","Brandon","Allen","Den",0,0,0,0,0,0,0,1
"QB","Paxton Lynch (7852090)","Paxton Lynch",7852090,5000,"Den@Jax 01:00PM ET","Den","Paxton","Lynch","Jax",14.96,0,0,0,0,6.82294031569968,6.52995392700388,1
"QB","Brandon Weeden (7852092)","Brandon Weeden",7852092,5000,"Hou@GB 01:00PM ET","Hou","Brandon","Weeden","GB",0,0,0,0,0,0,0,1
"QB","Tom Savage (7852094)","Tom Savage",7852094,5000,"Hou@GB 01:00PM ET","Hou","Tom","Savage","GB",0,0,0,0,0,0,0,1
"QB","Brett Hundley (7852095)","Brett Hundley",7852095,5000,"Hou@GB 01:00PM ET","GB","Brett","Hundley","Hou",0,0,0,0,0,0,0,1
"QB","Chase Daniel (7852096)","Chase Daniel",7852096,5000,"Phi@Cin 01:00PM ET","Phi","Chase","Daniel","Cin",0,0,0,0,0,0,0,1
"QB","AJ McCarron (7852098)","AJ McCarron",7852098,5000,"Phi@Cin 01:00PM ET","Cin","AJ","McCarron","Phi",0,0,0,0,0,0,0,1
"QB","Jeff Driskel (7852099)","Jeff Driskel",7852099,5000,"Phi@Cin 01:00PM ET","Cin","Jeff","Driskel","Phi",0,0,0,0,0,0,0,1
"QB","Matt Moore (7852101)","Matt Moore",7852101,5000,"Mia@Bal 01:00PM ET","Mia","Matt","Moore","Bal",0,0,0,0,0,0,0,1
"QB","Ryan Mallett (7852103)","Ryan Mallett",7852103,5000,"Mia@Bal 01:00PM ET","Bal","Ryan","Mallett","Mia",0,0,0,0,0,0,0,1
"WR","Mike Wallace (7852327)","Mike Wallace",7852327,5000,"Mia@Bal 01:00PM ET","Bal","Mike","Wallace","Mia",13.95,11.2,1,0.2,0,12.3911768741404,12.0122956303016,1
"QB","Jay Cutler (7852105)","Jay Cutler",7852105,5000,"SF@Chi 01:00PM ET","Chi","Jay","Cutler","SF",0,0,0,0,0,0,0,1
"QB","Christian Ponder (7852107)","Christian Ponder",7852107,5000,"SF@Chi 01:00PM ET","SF","Christian","Ponder","Chi",0,0,0,0,0,0,0,1
"QB","Blaine Gabbert (7852108)","Blaine Gabbert",7852108,5000,"SF@Chi 01:00PM ET","SF","Blaine","Gabbert","Chi",0,0,14,0.00279329608938547,0,0,0,1
"QB","Matt Barkley (7852109)","Matt Barkley",7852109,5000,"SF@Chi 01:00PM ET","Chi","Matt","Barkley","SF",16.26,16.6,0,0,0,16.3514987471511,15.8764263412243,1
"QB","David Fales (7852110)","David Fales",7852110,5000,"SF@Chi 01:00PM ET","Chi","David","Fales","SF",0,0,0,0,0,0,0,1
"QB","EJ Manuel (7852112)","EJ Manuel",7852112,5000,"Buf@Oak 04:05PM ET","Buf","EJ","Manuel","Oak",0,0,0,0,0,0,0,1
"QB","Matt McGloin (7852113)","Matt McGloin",7852113,5000,"Buf@Oak 04:05PM ET","Oak","Matt","McGloin","Buf",0,0,0,0,0,0,0,1
"QB","Connor Cook (7852115)","Connor Cook",7852115,5000,"Buf@Oak 04:05PM ET","Oak","Connor","Cook","Buf",0,0,0,0,0,0,0,1
"QB","Cardale Jones (7852116)","Cardale Jones",7852116,5000,"Buf@Oak 04:05PM ET","Buf","Cardale","Jones","Oak",0,0,0,0,0,0,0,1
"QB","Josh Johnson (7852119)","Josh Johnson",7852119,5000,"NYG@Pit 04:25PM ET","NYG","Josh","Johnson","Pit",0,0,0,0,0,0,0,1
"QB","Landry Jones (7852120)","Landry Jones",7852120,5000,"NYG@Pit 04:25PM ET","Pit","Landry","Jones","NYG",0,0,0,0,0,0,0,1
"QB","Ryan Nassib (7852121)","Ryan Nassib",7852121,5000,"NYG@Pit 04:25PM ET","NYG","Ryan","Nassib","Pit",0,0,0,0,0,0,0,1
"QB","Zach Mettenberger (7852122)","Zach Mettenberger",7852122,5000,"NYG@Pit 04:25PM ET","Pit","Zach","Mettenberger","NYG",0,0,0,0,0,0,0,0
"QB","Drew Stanton (7852124)","Drew Stanton",7852124,5000,"Was@Ari 04:25PM ET","Ari","Drew","Stanton","Was",0,0,0,0,0,0,0,1
"QB","Colt McCoy (7852125)","Colt McCoy",7852125,5000,"Was@Ari 04:25PM ET","Was","Colt","McCoy","Ari",0,0,0,0,0,0,0,1
"QB","Nate Sudfeld (7852127)","Nate Sudfeld",7852127,5000,"Was@Ari 04:25PM ET","Was","Nate","Sudfeld","Ari",0,0,0,0,0,0,0,1
"WR","DeSean Jackson (7852372)","DeSean Jackson",7852372,5000,"Was@Ari 04:25PM ET","Was","DeSean","Jackson","Ari",11.92,13.4,3,0.168141592920354,0,12.6495802592098,12.2896981995361,1
"QB","Kellen Clemens (7852128)","Kellen Clemens",7852128,5000,"TB@SD 04:25PM ET","SD","Kellen","Clemens","TB",0,0,0,0,0,0,0,1
"QB","Mike Glennon (7852130)","Mike Glennon",7852130,5000,"TB@SD 04:25PM ET","TB","Mike","Glennon","SD",0,0,0,0,0,0,0,1
"QB","Ryan Griffin (7852131)","Ryan Griffin",7852131,5000,"TB@SD 04:25PM ET","TB","Ryan","Griffin","SD",0,0,0,0,0,0,0,1
"QB","Derek Anderson (7852133)","Derek Anderson",7852133,5000,"Car@Sea 08:30PM ET","Car","Derek","Anderson","Sea",0,0,0,0,0,0,0,1
"QB","Joe Webb (7852134)","Joe Webb",7852134,5000,"Car@Sea 08:30PM ET","Car","Joe","Webb","Sea",0,0,10,0.0025,0,0,0,1
"QB","Trevone Boykin (7852137)","Trevone Boykin",7852137,5000,"Car@Sea 08:30PM ET","Sea","Trevone","Boykin","Car",0,0,0,0,0,0,0,1
"RB","Charcandrick West (7852145)","Charcandrick West",7852145,4900,"KC@Atl 01:00PM ET","KC","Charcandrick","West","Atl",6.22,4.6,7,0.0738916256157636,0,5.31295634707614,5.14773743655578,0
"WR","Sterling Shepard (7852369)","Sterling Shepard",7852369,4900,"NYG@Pit 04:25PM ET","NYG","Sterling","Shepard","Pit",10.36,13.5,2,0.172169811320755,0,11.9919264303531,11.6616528973144,1
"RB","Tim Hightower (7852146)","Tim Hightower",7852146,4800,"Det@NO 01:00PM ET","NO","Tim","Hightower","Det",11.79,10.5,8,0.041304347826087,0,11.0292416888809,10.6992680021897,1
"TE","Martellus Bennett (7852419)","Martellus Bennett",7852419,4800,"LA@NE 01:00PM ET","NE","Martellus","Bennett","LA",11.54,9.8,3,0.151898734177215,0,10.5384171990082,10.2199443848116,1
"WR","Tyler Boyd (7852324)","Tyler Boyd",7852324,4800,"Phi@Cin 01:00PM ET","Cin","Tyler","Boyd","Phi",13.47,13.2,3,0.143540669856459,0,13.2488440468931,12.8604928370412,0
"RB","Rashad Jennings (7852220)","Rashad Jennings",7852220,4800,"NYG@Pit 04:25PM ET","NYG","Rashad","Jennings","Pit",11.83,11.9,5,0.0660377358490566,0,11.8010943754965,11.4571278835755,1
"TE","Travis Kelce (7852404)","Travis Kelce",7852404,4700,"KC@Atl 01:00PM ET","KC","Travis","Kelce","Atl",14.61,15.2,1,0.20935960591133,0,14.8453590345812,14.415810723042,1
"WR","Will Fuller (7852311)","Will Fuller",7852311,4700,"Hou@GB 01:00PM ET","Hou","Will","Fuller","GB",10.66,9.4,2,0.151741293532338,0,9.92175075990403,9.62428655892116,1
"RB","Rob Kelley (7852235)","Rob Kelley",7852235,4700,"Was@Ari 04:25PM ET","Was","Rob","Kelley","Ari",0,12.6,9,0.0176991150442478,0,6.78248577622135,6.66360100374723,1
"WR","Tyreek Hill (7852267)","Tyreek Hill",7852267,4600,"KC@Atl 01:00PM ET","KC","Tyreek","Hill","Atl",12.59,15.8,2,0.140394088669951,0,14.2470551735559,13.8514066787097,1
"RB","Mike Gillislee (7852214)","Mike Gillislee",7852214,4600,"Buf@Oak 04:05PM ET","Buf","Mike","Gillislee","Oak",5.77,3.3,9,0.0342679127725857,0,4.40794056442839,4.2638006363744,1
"WR","Travis Benjamin (7852384)","Travis Benjamin",7852384,4600,"TB@SD 04:25PM ET","SD","Travis","Benjamin","TB",8.94,8.9,3,0.155555555555556,0,8.86814879419664,8.60908784375449,1
"RB","Jacquizz Rodgers (7852238)","Jacquizz Rodgers",7852238,4500,"TB@SD 04:25PM ET","TB","Jacquizz","Rodgers","SD",0,4.1,8,0.0306603773584906,0,2.20699933988155,2.16831461233045,0
"WR","Mohamed Sanu (7852260)","Mohamed Sanu",7852260,4400,"KC@Atl 01:00PM ET","Atl","Mohamed","Sanu","KC",10.89,12.7,2,0.184415584415584,0,11.8030142288126,11.4699090699211,1
"WR","Marvin Jones Jr. (7852271)","Marvin Jones Jr.",7852271,4400,"Det@NO 01:00PM ET","Det","Marvin","Jones","NO",12.92,12.7,2,0.216417910447761,0,12.7288543919724,12.3559923902298,0
