"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Projection_ceil","Projection_rceil","FreqInd","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9"
"WR","Jamison Crowder (7725783)","Jamison Crowder",7725783,5000,"Min@Was 01:00PM ET","Was","Jamison","Crowder","Min",12.62,13.1,4,0.169184290030211,12.0992145150757,12.0453827169314,22.8,13.1,1,11.8,15.9,17.8,4.1,12.5,13.3,20.8,28.7,NA
"QB","Matt Cassel (7725584)","Matt Cassel",7725584,5000,"GB@Ten 01:00PM ET","Ten","Matt","Cassel","GB",0,0,0,0,0,0,0.7,0,0,NA,-0.1,NA,NA,NA,NA,NA,0.6,NA
"QB","Brett Hundley (7725586)","Brett Hundley",7725586,5000,"GB@Ten 01:00PM ET","GB","Brett","Hundley","Ten",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RB","Derrick Henry (7725672)","Derrick Henry",7725672,5000,"GB@Ten 01:00PM ET","Ten","Derrick","Henry","GB",5.64,6.6,7,0.0364238410596026,5.81931158925438,5.77793365709373,12,6.6,0,6.4,5.9,4.5,0.9,5.4,4.7,0.3,19.7,NA
"QB","Kellen Clemens (7725588)","Kellen Clemens",7725588,5000,"Mia@SD 04:05PM ET","SD","Kellen","Clemens","Mia",0,0,0,0,0,0,-0.1,0,0,NA,-0.1,NA,NA,NA,NA,NA,NA,NA
"QB","Matt Moore (7725589)","Matt Moore",7725589,5000,"Mia@SD 04:05PM ET","Mia","Matt","Moore","SD",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QB","Drew Stanton (7725593)","Drew Stanton",7725593,5000,"SF@Ari 04:25PM ET","Ari","Drew","Stanton","SF",0,0,0,0,0,0,9.6,0,0,NA,0.4,NA,-0.5,12.8,0.4,NA,NA,NA
"QB","Christian Ponder (7725595)","Christian Ponder",7725595,5000,"SF@Ari 04:25PM ET","SF","Christian","Ponder","Ari",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QB","Blaine Gabbert (7725596)","Blaine Gabbert",7725596,5000,"SF@Ari 04:25PM ET","SF","Blaine","Gabbert","Ari",0,0,13,0.004,0,0,22.4,0,0,14.5,22.7,6,13.5,21.5,NA,NA,NA,NA
"QB","Mark Sanchez (7725599)","Mark Sanchez",7725599,5000,"Dal@Pit 04:25PM ET","Dal","Mark","Sanchez","Pit",0,0,0,0,0,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QB","Landry Jones (7725600)","Landry Jones",7725600,5000,"Dal@Pit 04:25PM ET","Pit","Landry","Jones","Dal",0,0,0,0,0,0,10.7,0,0,NA,NA,NA,NA,-0.2,-0.1,14.2,NA,NA
"QB","Zach Mettenberger (7725601)","Zach Mettenberger",7725601,5000,"Dal@Pit 04:25PM ET","Pit","Zach","Mettenberger","Dal",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QB","Jimmy Garoppolo (7725605)","Jimmy Garoppolo",7725605,5000,"Sea@NE 08:30PM ET","NE","Jimmy","Garoppolo","Sea",0,0,11,0.0037037037037037,0,0,20.4,0,0,16.1,21.4,NA,NA,-0.3,NA,NA,-0.1,NA
"QB","Trevone Boykin (7725606)","Trevone Boykin",7725606,5000,"Sea@NE 08:30PM ET","Sea","Trevone","Boykin","NE",0,0,0,0,0,0,5.4,0,0,NA,NA,5.4,NA,NA,NA,NA,NA,NA
"WR","Kenny Britt (7725734)","Kenny Britt",7725734,4900,"LA@NYJ 01:00PM ET","LA","Kenny","Britt","NYJ",13.02,11.1,2,0.204225352112676,11.1477316079096,11.1483067763986,23.5,11.1,1,10.7,15.4,6.8,12.2,12.5,35.6,7.3,NA,14.9
"RB","Tevin Coleman (7725640)","Tevin Coleman",7725640,4900,"Atl@Phi 01:00PM ET","Atl","Tevin","Coleman","Phi",0,0,5,0.075,0,0,26.7,0,1,16.7,15.1,29.9,6.3,29.3,2.7,14.4,NA,NA
"RB","Jonathan Stewart (7725643)","Jonathan Stewart",7725643,4900,"KC@Car 01:00PM ET","Car","Jonathan","Stewart","KC",12.69,13.2,8,0.0235690235690236,12.181436306929,12.1266707775787,21.5,13.2,0,6.4,3.6,NA,NA,NA,20.5,NA,24,4.2
"WR","John Brown (7725818)","John Brown",7725818,4900,"SF@Ari 04:25PM ET","Ari","John","Brown","SF",12.76,9.8,3,0.152694610778443,10.329081316281,10.3546983363549,19.6,9.8,0,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA
"RB","Alfred Morris (7725690)","Alfred Morris",7725690,4900,"Dal@Pit 04:25PM ET","Dal","Alfred","Morris","Pit",4.29,4.1,9,0.0116731517509728,3.9177563329014,3.90766220144633,7,4.1,0,3.5,6.7,9.1,3.4,3.3,0.2,NA,0.6,5.6
"RB","LeGarrette Blount (7725700)","LeGarrette Blount",7725700,4900,"Sea@NE 08:30PM ET","NE","LeGarrette","Blount","Sea",11.58,5.6,8,0.0222222222222222,7.55332003434644,7.65309205552659,24.4,5.6,1,12,21.3,25.5,8.8,9.7,15,29.4,10.3,NA
"RB","Alfred Blue (7725611)","Alfred Blue",7725611,4800,"Hou@Jax 01:00PM ET","Hou","Alfred","Blue","Jax",2.52,3.7,11,0.0134680134680135,3.01525812907287,2.97932048335833,4.4,3.7,0,0.4,1.1,1.2,3.3,3.9,1.3,5.3,4.1,NA
"WR","DeSean Jackson (7725777)","DeSean Jackson",7725777,4800,"Min@Was 01:00PM ET","Was","DeSean","Jackson","Min",0,0,1,0.18429003021148,0,0,16.6,0,1,19.2,7,20.6,1.5,6.5,9.5,8.5,7.8,NA
"WR","Quincy Enunwa (7725737)","Quincy Enunwa",7725737,4700,"LA@NYJ 01:00PM ET","NYJ","Quincy","Enunwa","LA",12.08,8.9,2,0.205047318611987,9.56983649710494,9.60286453296157,17.4,8.9,1,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5
"RB","Tim Hightower (7725616)","Tim Hightower",7725616,4600,"Den@NO 01:00PM ET","NO","Tim","Hightower","Den",10.13,11,11,0.0171428571428571,9.97988355921599,9.92541178896873,12,12,0,2,0.9,1.9,1.1,NA,NA,5.4,14.2,17.2
"WR","Mohamed Sanu (7725749)","Mohamed Sanu",7725749,4600,"Atl@Phi 01:00PM ET","Atl","Mohamed","Sanu","Phi",12.25,11.5,2,0.190625,11.0723962328819,11.0483926100797,18.4,11.5,0,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4
"TE","Delanie Walker (7725900)","Delanie Walker",7725900,4600,"GB@Ten 01:00PM ET","Ten","Delanie","Walker","GB",12.45,11.8,2,0.175496688741722,11.3152118699421,11.2882085405083,19.7,11.8,1,7.2,20.3,NA,5.4,17.6,3.1,21.4,11.8,15.2
"RB","James White (7725705)","James White",7725705,4500,"Sea@NE 08:30PM ET","NE","James","White","Sea",10.16,4.6,2,0.177777777777778,6.45392094385505,6.54873734008726,18,4.6,0,9.4,4.9,2.4,11.2,12.9,26.6,11.2,4.9,NA
"WR","Chris Hogan (7725842)","Chris Hogan",7725842,4500,"Sea@NE 08:30PM ET","NE","Chris","Hogan","Sea",8.87,6.7,4,0.118518518518519,7.11805074692875,7.13846919597969,16.8,6.7,0,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA
"WR","Allen Hurns (7725712)","Allen Hurns",7725712,4400,"Hou@Jax 01:00PM ET","Jax","Allen","Hurns","Hou",10.28,10.3,2,0.184210526315789,9.65071428020727,9.61548346129568,17.2,10.3,0,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA
"WR","Cameron Meredith (7725774)","Cameron Meredith",7725774,4400,"Chi@TB 01:00PM ET","Chi","Cameron","Meredith","TB",9.15,11.9,3,0.14527027027027,10.100071787486,10.0052358411354,24.6,11.9,1,NA,NA,3.4,6.8,30.6,25.3,2.2,3.4,NA
"RB","Darren Sproles (7725633)","Darren Sproles",7725633,4300,"Atl@Phi 01:00PM ET","Phi","Darren","Sproles","Atl",13.81,13.2,4,0.138576779026217,12.6126070188656,12.580074947081,18.6,18.6,1,5.6,6.8,27.7,NA,10.8,3.4,6.9,15.3,10.1
"WR","DeVante Parker (7725808)","DeVante Parker",7725808,4300,"Mia@SD 04:05PM ET","Mia","DeVante","Parker","SD",8.72,11.3,2,0.161825726141079,9.60289129786732,9.51345922573785,15.8,11.3,0,NA,21.6,14.1,4,9,7.8,5,NA,2.8
"RB","James Starks (7725667)","James Starks",7725667,4200,"GB@Ten 01:00PM ET","GB","James","Starks","Ten",4.8,5,8,0.0302114803625378,4.61155559758711,4.59067572911159,6.8,5,0,2.3,2.9,1.8,NA,8.2,NA,NA,NA,NA
"WR","Rishard Matthews (7725794)","Rishard Matthews",7725794,4200,"GB@Ten 01:00PM ET","Ten","Rishard","Matthews","GB",11.22,11.2,3,0.155629139072848,10.5100523003686,10.4725718040377,17.6,11.2,0,5.6,8,6.2,10.2,13.2,16,7.7,13.8,24.3
"WR","J.J. Nelson (7725820)","J.J. Nelson",7725820,4200,"SF@Ari 04:25PM ET","Ari","J.J.","Nelson","SF",11.01,12.6,5,0.0808383233532934,11.203038504881,11.1288627230045,18.8,12.6,0,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA
"WR","Tavon Austin (7725736)","Tavon Austin",7725736,4100,"LA@NYJ 01:00PM ET","LA","Tavon","Austin","NYJ",11.17,13.6,1,0.22887323943662,11.8173705444437,11.7231377477538,19,13.6,1,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8
"WR","Kendall Wright (7725792)","Kendall Wright",7725792,4100,"GB@Ten 01:00PM ET","Ten","Kendall","Wright","GB",8.91,7.3,6,0.0860927152317881,7.46509143506954,7.47236400235413,22.7,7.3,0,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4
"RB","DuJuan Harris (7725681)","DuJuan Harris",7725681,4100,"SF@Ari 04:25PM ET","SF","DuJuan","Harris","Ari",5.78,8.1,8,0.036,6.70231226360409,6.62886367908348,27.6,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,24.2
"RB","Kapri Bibbs (7725622)","Kapri Bibbs",7725622,4000,"Den@NO 01:00PM ET","Den","Kapri","Bibbs","NO",7.8,7.1,11,0.00961538461538462,6.92722321691801,6.91710748425833,10.1,7.1,0,1.6,0.7,NA,1.4,NA,NA,NA,0.4,15
"RB","Knile Davis (7725646)","Knile Davis",7725646,4000,"KC@Car 01:00PM ET","KC","Knile","Davis","Car",0,0,10,0.0137931034482759,0,0,3.3,0,0,NA,NA,NA,3.2,NA,NA,NA,NA,NA
"RB","Chris Thompson (7725661)","Chris Thompson",7725661,4000,"Min@Was 01:00PM ET","Was","Chris","Thompson","Min",8.57,9,5,0.0936555891238671,8.27385190616077,8.23487855180697,14.5,9,0,11.9,8.8,2.6,12,8.5,9.6,18.3,9.1,NA
"WR","Sammie Coates (7725833)","Sammie Coates",7725833,4000,"Dal@Pit 04:25PM ET","Pit","Sammie","Coates","Dal",11.45,8.4,3,0.120743034055728,9.05093485985472,9.08307318734921,21.2,8.4,0,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA
"TE","Jason Witten (7725923)","Jason Witten",7725923,4000,"Dal@Pit 04:25PM ET","Dal","Jason","Witten","Pit",11.34,10.6,1,0.217898832684825,10.2246074282188,10.2034490218779,20.1,10.6,1,15.6,8.1,4.5,11.7,7.3,8.2,NA,9.6,30.4
"WR","Marqise Lee (7725716)","Marqise Lee",7725716,3900,"Hou@Jax 01:00PM ET","Jax","Marqise","Lee","Hou",8.75,7.8,3,0.149122807017544,7.67986373086447,7.67234347840684,16.1,7.8,0,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5
"RB","Peyton Barber (7725657)","Peyton Barber",7725657,3900,"Chi@TB 01:00PM ET","TB","Peyton","Barber","Chi",6.87,5.3,10,0.0157232704402516,5.57427233404149,5.58751469254854,13.1,5.3,0,NA,NA,NA,NA,0.6,NA,14.4,0.1,9.5
"WR","Russell Shepard (7725769)","Russell Shepard",7725769,3900,"Chi@TB 01:00PM ET","TB","Russell","Shepard","Chi",0,0,6,0.0471698113207547,0,0,13.2,0,0,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA
"RB","Damien Williams (7725678)","Damien Williams",7725678,3900,"Mia@SD 04:05PM ET","Mia","Damien","Williams","SD",4.36,5,4,0.0663900414937759,4.44216710361202,4.41255266252141,10.5,5,0,4.8,NA,11.5,2.5,9,9.7,7.6,NA,6.9
"TE","Antonio Gates (7725907)","Antonio Gates",7725907,3900,"Mia@SD 04:05PM ET","SD","Antonio","Gates","Mia",12.48,10.9,4,0.148484848484848,10.8292984842258,10.8238005945674,15.3,10.9,1,5,10.5,NA,NA,12,3.6,8.8,13.3,18.5
"RB","Thomas Rawls (7725706)","Thomas Rawls",7725706,3900,"Sea@NE 08:30PM ET","Sea","Thomas","Rawls","NE",0,0,8,0.0244897959183673,0,0,9.8,0,0,8.8,3.8,NA,NA,NA,NA,NA,NA,NA
"RB","C.J. Prosise (7725708)","C.J. Prosise",7725708,3900,"Sea@NE 08:30PM ET","Sea","C.J.","Prosise","NE",9.44,10.9,7,0.0408163265306122,9.65897798039786,9.59313213448975,11.5,10.9,0,2.1,NA,NA,NA,NA,NA,3.7,14.3,2.5
"WR","Tyreek Hill (7725766)","Tyreek Hill",7725766,3800,"KC@Car 01:00PM ET","KC","Tyreek","Hill","Car",8.74,10.5,4,0.096551724137931,9.16840179600878,9.09795332833696,15.5,10.5,0,7.9,2.7,5.3,13.2,NA,4,13.1,21.5,6.2
"RB","Matt Asiata (7725659)","Matt Asiata",7725659,3800,"Min@Was 01:00PM ET","Min","Matt","Asiata","Was",9.27,10.5,5,0.0809859154929577,9.37243793647878,9.31251065854786,14.4,10.5,1,1.3,3.5,2.9,9.8,19.1,NA,14,9.8,6.1
"RB","Jerick McKinnon (7725664)","Jerick McKinnon",7725664,3800,"Min@Was 01:00PM ET","Min","Jerick","McKinnon","Was",10.4,7.2,7,0.0528169014084507,7.98342884912804,8.02260317779925,12.1,7.2,0,1.9,1.1,7.7,18.5,5.6,NA,5.8,NA,0.8
"RB","Matt Jones (7725666)","Matt Jones",7725666,3800,"Min@Was 01:00PM ET","Was","Matt","Jones","Min",0,0,7,0.0332326283987915,0,0,20.8,0,1,4.3,13.5,9.9,24.8,6.6,22.5,1.7,NA,NA
"WR","Adam Thielen (7725787)","Adam Thielen",7725787,3800,"Min@Was 01:00PM ET","Min","Adam","Thielen","Was",9.79,8.4,3,0.144366197183099,8.41187826894867,8.41106343612261,17.9,8.4,0,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8
"WR","Torrey Smith (7725814)","Torrey Smith",7725814,3800,"SF@Ari 04:25PM ET","SF","Torrey","Smith","Ari",7.3,8,3,0.14,7.23219889316089,7.19124760906884,12.3,8,0,3.3,14.5,6.5,1.3,NA,16.6,2.7,NA,3.8
"WR","Michael Floyd (7725816)","Michael Floyd",7725816,3800,"SF@Ari 04:25PM ET","Ari","Michael","Floyd","SF",4.4,6.5,4,0.131736526946108,5.28667039296739,5.22300016937702,13.1,6.5,0,9.1,8.8,10.5,12.6,NA,10.2,11.5,NA,NA
"RB","T.J. Yeldon (7725615)","T.J. Yeldon",7725615,3700,"Hou@Jax 01:00PM ET","Jax","T.J.","Yeldon","Hou",8.3,8.3,4,0.114035087719298,7.78299361017582,7.75492366057056,16.1,8.3,1,16.9,11.8,4.8,15.7,NA,3.6,3.8,9.6,16.5
"RB","Benny Cunningham (7725630)","Benny Cunningham",7725630,3700,"LA@NYJ 01:00PM ET","LA","Benny","Cunningham","NYJ",2.33,5.1,7,0.0457746478873239,3.71594381058408,3.64370790535197,6.5,5.1,0,1.8,1.9,4.9,NA,NA,4.3,1.9,NA,9.2
"WR","Brian Quick (7725735)","Brian Quick",7725735,3700,"LA@NYJ 01:00PM ET","LA","Brian","Quick","NYJ",9.54,7.3,4,0.133802816901408,7.70762496053388,7.72740384769917,16.1,7.3,0,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8
"RB","Ryan Mathews (7725635)","Ryan Mathews",7725635,3700,"Atl@Phi 01:00PM ET","Phi","Ryan","Mathews","Atl",8.14,4.9,8,0.0337078651685393,5.84209463404091,5.88984143453817,15.7,4.9,1,13.7,16.5,-0.5,NA,17.5,6,8.3,8.1,8.5
"RB","Wendell Smallwood (7725641)","Wendell Smallwood",7725641,3700,"Atl@Phi 01:00PM ET","Phi","Wendell","Smallwood","Atl",0,2.2,10,0.0112359550561798,1.21601969185786,1.16490660117621,9.4,2.2,0,0.1,1.6,13.9,NA,NA,9,1.3,-1.5,2.5
"TE","Zach Ertz (7725868)","Zach Ertz",7725868,3700,"Atl@Phi 01:00PM ET","Phi","Zach","Ertz","Atl",9.07,9.3,5,0.116104868913858,8.632159698204,8.59614202763803,13.8,9.3,1,11.8,NA,NA,NA,6.7,3.2,2.4,5.9,17.7
"WR","Ted Ginn Jr. (7725756)","Ted Ginn",7725756,3700,"KC@Car 01:00PM ET","Car","Ted","Ginn","KC",7.53,8.7,3,0.131313131313131,7.7076582351481,7.65500949425159,NA,8.7,0,3.5,6.6,9.7,3.4,0.5,11,NA,10.3,9
"RB","Jeremy Langford (7725655)","Jeremy Langford",7725655,3700,"Chi@TB 01:00PM ET","Chi","Jeremy","Langford","TB",4.38,2.4,7,0.0371621621621622,3.01275239932432,3.04394136415816,13.2,2.4,1,14.3,9.4,6.6,NA,NA,NA,NA,2.1,NA
"RB","Ka'Deem Carey (7725656)","Ka'Deem Carey",7725656,3700,"Chi@TB 01:00PM ET","Chi","Ka'Deem","Carey","TB",2.46,4.8,10,0.0135135135135135,3.6001695440052,3.53748427486595,5.4,4.8,0,0.4,1.6,NA,NA,2.7,5,6.7,0.3,NA
"WR","Eddie Royal (7725767)","Eddie Royal",7725767,3700,"Chi@TB 01:00PM ET","Chi","Eddie","Royal","TB",10.1,9.7,4,0.128378378378378,9.2497772530744,9.22491313373345,21.5,9.7,1,15.7,15.2,5.1,27.1,11.3,9.4,NA,NA,NA
"WR","Adam Humphries (7725776)","Adam Humphries",7725776,3700,"Chi@TB 01:00PM ET","TB","Adam","Humphries","Chi",8.47,9.6,2,0.160377358490566,8.56699625530948,8.51209783699362,16.4,9.6,0,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6
"RB","Kenneth Farrow (7725677)","Kenneth Farrow",7725677,3700,"Mia@SD 04:05PM ET","SD","Kenneth","Farrow","Mia",4.15,3.4,10,0.00909090909090909,3.47694463740909,3.4803345798843,2.3,3.4,0,NA,1.3,NA,NA,NA,0.5,1.3,1.2,2.9
"WR","Kenny Stills (7725805)","Kenny Stills",7725805,3700,"Mia@SD 04:05PM ET","Mia","Kenny","Stills","SD",8.5,8.5,3,0.136929460580913,7.97053562487885,7.94178929094576,17.1,8.5,0,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1
"WR","Jeremy Kerley (7725815)","Jeremy Kerley",7725815,3700,"SF@Ari 04:25PM ET","SF","Jeremy","Kerley","Ari",7.81,9.9,1,0.252,8.47873438141836,8.40376413726874,19.5,9.9,0,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2
"RB","Cameron Artis-Payne (7725649)","Cameron Artis-Payne",7725649,3600,"KC@Car 01:00PM ET","Car","Cameron","Artis-Payne","KC",0,0,10,0.00336700336700337,0,0,19.4,0,0,NA,NA,6.8,1.2,20.5,NA,NA,NA,NA
"TE","Zach Miller (7725881)","Zach Miller",7725881,3600,"Chi@TB 01:00PM ET","Chi","Zach","Miller","TB",13,11.1,2,0.182432432432432,11.1400321309107,11.1402102733718,19.6,11.1,1,4.4,7.3,27.8,12.1,14.3,9.6,6,15.8,NA
"RB","Rob Kelley (7725665)","Rob Kelley",7725665,3600,"Min@Was 01:00PM ET","Was","Rob","Kelley","Min",0,10.4,10,0.00906344410876133,5.74845672514626,5.50683120556027,11,11,0,NA,NA,0.7,0.4,1.8,5.9,8.6,14.7,NA
"WR","Pierre Garcon (7725779)","Pierre Garcon",7725779,3600,"Min@Was 01:00PM ET","Was","Pierre","Garcon","Min",10.9,11,3,0.175226586102719,10.2763134236724,10.2371271555016,14.6,11,0,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,NA
"TE","Kyle Rudolph (7725895)","Kyle Rudolph",7725895,3600,"Min@Was 01:00PM ET","Min","Kyle","Rudolph","Was",12.75,10.1,2,0.211267605633803,10.4910524448531,10.5095009850018,16.3,10.1,1,10.5,12.1,20,16.5,3.5,NA,10.5,8.1,7.1
"WR","Terrance Williams (7725829)","Terrance Williams",7725829,3600,"Dal@Pit 04:25PM ET","Dal","Terrance","Williams","Pit",9.1,7.6,4,0.140077821011673,7.70405733363031,7.70813168126938,13.4,7.6,0,6.4,NA,11.8,14.4,12,11.5,NA,4.5,3.9
"WR","Tyler Lockett (7725844)","Tyler Lockett",7725844,3600,"Sea@NE 08:30PM ET","Sea","Tyler","Lockett","NE",7.45,7.8,4,0.130612244897959,7.17939772593805,7.14607078166311,9.3,7.8,0,4.7,13.9,NA,2.3,NA,5.5,3.3,7.2,4
"TE","C.J. Fiedorowicz (7725849)","C.J. Fiedorowicz",7725849,3500,"Hou@Jax 01:00PM ET","Hou","C.J.","Fiedorowicz","Jax",10.95,7.8,3,0.131313131313131,8.52680620073996,8.56295881135776,16.6,7.8,0,1.6,1.1,NA,14.8,10.1,20.5,8.5,15.3,NA
"RB","Terron Ward (7725638)","Terron Ward",7725638,3500,"Atl@Phi 01:00PM ET","Atl","Terron","Ward","Phi",5.18,6.6,12,0.003125,5.64222361828042,5.59171408747672,7.5,6.6,0,NA,NA,NA,NA,NA,NA,NA,NA,3
"WR","Chris Conley (7725761)","Chris Conley",7725761,3500,"KC@Car 01:00PM ET","KC","Chris","Conley","Car",8.15,9.4,3,0.144827586206897,8.33325737861324,8.27665318845747,10.1,9.4,0,8.3,3.5,7.4,13,NA,5.6,4.9,8.9,5.8
"TE","Cameron Brate (7725887)","Cameron Brate",7725887,3500,"Chi@TB 01:00PM ET","TB","Cameron","Brate","Chi",10.22,9.6,3,0.138364779874214,9.24070049271043,9.22054185184095,16.2,9.6,1,6,4.6,21.6,11.7,4.8,NA,5.9,11.2,15.3
"RB","Ronnie Hillman (7725662)","Ronnie Hillman",7725662,3500,"Min@Was 01:00PM ET","Min","Ronnie","Hillman","Was",4.56,5.1,8,0.028169014084507,4.57443549595787,4.54646799284314,7.4,5.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RB","Andre Ellington (7725682)","Andre Ellington",7725682,3500,"SF@Ari 04:25PM ET","Ari","Andre","Ellington","SF",4.02,6.5,9,0.0209580838323353,5.14038032998889,5.06916661186732,2.7,6.5,0,2.8,2.1,NA,1.4,1.9,2.5,0.7,2.6,NA
"RB","Mike Davis (7725687)","Mike Davis",7725687,3500,"SF@Ari 04:25PM ET","SF","Mike","Davis","Ari",0,1.1,11,0.02,0.608009845928931,0.582453300588106,5,1.1,0,0.1,2,NA,NA,0.4,2.9,8.1,NA,2
"WR","Brice Butler (7725828)","Brice Butler",7725828,3500,"Dal@Pit 04:25PM ET","Dal","Brice","Butler","Pit",2.8,1.9,5,0.0894941634241245,2.12812560462786,2.13956612477154,9.6,1.9,0,2.6,NA,NA,15.1,4,9,NA,2.9,1.9
"WR","Eli Rogers (7725834)","Eli Rogers",7725834,3500,"Dal@Pit 04:25PM ET","Pit","Eli","Rogers","Dal",8.22,9.4,5,0.0897832817337461,8.36020554810928,8.30499094905136,18.2,9.4,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3
"RB","Chris Ivory (7725607)","Chris Ivory",7725607,3400,"Hou@Jax 01:00PM ET","Jax","Chris","Ivory","Hou",8.48,6.9,7,0.0321637426900585,7.07845819016517,7.0864879870635,11.6,6.9,0,NA,NA,3.3,2.9,NA,11.5,7.1,2.2,13.7
"WR","Taylor Gabriel (7725755)","Taylor Gabriel",7725755,3400,"Atl@Phi 01:00PM ET","Atl","Taylor","Gabriel","Phi",0,5.5,6,0.059375,3.04004922964466,2.91226650294053,15.7,5.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR","Cordarrelle Patterson (7725785)","Cordarrelle Patterson",7725785,3400,"Min@Was 01:00PM ET","Min","Cordarrelle","Patterson","Was",9.55,8,4,0.116197183098592,8.09839005553355,8.10210419958683,14.9,8,0,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6,10.5
"WR","Dontrelle Inman (7725802)","Dontrelle Inman",7725802,3400,"Mia@SD 04:05PM ET","SD","Dontrelle","Inman","Mia",12.31,10.8,3,0.157575757575758,10.7085793073783,10.7020300187859,16.6,10.8,0,1.6,1.7,6.2,28,1.3,2.1,8.8,11.2,11.6
"RB","Shaun Draughn (7725680)","Shaun Draughn",7725680,3400,"SF@Ari 04:25PM ET","SF","Shaun","Draughn","Ari",6.08,0,6,0.056,2.34064100765589,2.46133692015529,11,0,0,10.6,2.1,2.2,1.8,-0.1,0.2,16.3,NA,NA
"TE","Martellus Bennett (7725931)","Martellus Bennett",7725931,3400,"Sea@NE 08:30PM ET","NE","Martellus","Bennett","Sea",8.8,6.9,3,0.166666666666667,7.20164982214706,7.21603203549273,23.7,6.9,1,4.4,25.4,3.6,18.9,30.7,9.8,1.5,7.5,NA
"TE","Coby Fleener (7725854)","Coby Fleener",7725854,3300,"Den@NO 01:00PM ET","NO","Coby","Fleener","Den",10.08,6.7,4,0.137142857142857,7.58386910536027,7.6283076291027,20.5,6.7,1,1.6,4.9,26.9,4.9,NA,25.6,6.4,7.6,7.2
"WR","Albert Wilson (7725759)","Albert Wilson",7725759,3300,"KC@Car 01:00PM ET","KC","Albert","Wilson","Car",6.12,11.9,5,0.0896551724137931,8.93360102215752,8.77861563257117,10.3,11.9,0,3.1,3.1,NA,10.2,NA,3.6,1.4,NA,12.7
"RB","Mike James (7725654)","Mike James",7725654,3300,"Chi@TB 01:00PM ET","TB","Mike","James","Chi",2.64,1.4,12,0.00943396226415094,1.79016167685104,1.81004260028961,5,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RB","Derek Watt (7725676)","Derek Watt",7725676,3300,"Mia@SD 04:05PM ET","SD","Derek","Watt","Mia",0,0,10,0.00909090909090909,0,0,5.1,0,0,NA,NA,1.6,NA,0.2,1.8,NA,6.3,NA
"WR","Jalin Marshall (7725743)","Jalin Marshall",7725743,3200,"LA@NYJ 01:00PM ET","NYJ","Jalin","Marshall","LA",5.59,4.2,7,0.0536277602523659,4.473495960185,4.48688519824353,9.2,4.2,0,NA,6.5,2.9,NA,NA,2.1,NA,NA,14.9
"RB","Fozzy Whittaker (7725644)","Fozzy Whittaker",7725644,3200,"KC@Car 01:00PM ET","Car","Fozzy","Whittaker","KC",2.46,4.9,6,0.0909090909090909,3.65544316636237,3.59043457491942,14.8,4.9,0,2.7,18.1,10.6,18.2,6.4,1.3,NA,2,1.1
"WR","Devin Funchess (7725764)","Devin Funchess",7725764,3200,"KC@Car 01:00PM ET","Car","Devin","Funchess","KC",5.74,6.2,5,0.107744107744108,5.63671448482002,5.60661497201401,10.6,6.2,0,1.9,9.9,NA,7.6,NA,12.8,NA,6.8,3.8
"WR","Danny Amendola (7725837)","Danny Amendola",7725837,3200,"Sea@NE 08:30PM ET","NE","Danny","Amendola","Sea",5.33,7.8,6,0.0777777777777778,6.36325316405803,6.28784146081949,13.2,7.8,0,7.8,20,4.3,NA,3.1,5,NA,11.9,NA
