"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","FreqInd","ValueWR","Ownership.Pctg.Pred"
"WR","Michael Thomas (7852276)","Michael Thomas",7852276,6900,"Det@NO 01:00PM ET","NO","Michael","Thomas","Det",19.26,14.8,8.2,16.2339660800614,16.7508089020157,1,0.191304347826087,1,0,15.3498927819351
"RB","Jordan Howard (7852208)","Jordan Howard",7852208,6900,"SF@Chi 01:00PM ET","Chi","Jordan","Howard","SF",17.26,24.8,32.7,20.6495498123427,21.2215763250225,5,0.0970873786407767,1,0,24.0004488863187
"QB","Matt Ryan (7852070)","Matt Ryan",7852070,6800,"KC@Atl 01:00PM ET","Atl","Matt","Ryan","KC",20.69,20.2,17.2,19.7139818541016,20.3097813446911,0,0,1,0,NA
"WR","Julian Edelman (7852280)","Julian Edelman",7852280,6800,"LA@NE 01:00PM ET","NE","Julian","Edelman","LA",15.76,16.5,21.1,15.6052934957436,16.0696300459047,1,0.263291139240506,1,0,8.60351002512734
"QB","Aaron Rodgers (7852091)","Aaron Rodgers",7852091,6700,"Hou@GB 01:00PM ET","GB","Aaron","Rodgers","Hou",24.32,20.1,17,21.2455702464903,21.9115184926319,0,0,1,0,NA
"RB","Jay Ajayi (7852194)","Jay Ajayi",7852194,6700,"Mia@Bal 01:00PM ET","Mia","Jay","Ajayi","Bal",14.82,12.201,14.7,12.9209028472392,13.3262580374169,4,0.072289156626506,1,0,0.292371175791879
"WR","Doug Baldwin (7852395)","Doug Baldwin",7852395,6700,"Car@Sea 08:30PM ET","Sea","Doug","Baldwin","Car",16.68,15.4,13.5,15.4251252577129,15.8971008580498,1,0.251428571428571,1,0,14.4868928144216
"WR","Demaryius Thomas (7852292)","Demaryius Thomas",7852292,6600,"Den@Jax 01:00PM ET","Den","Demaryius","Thomas","Jax",14.94,14.001,12.1,13.9252251573494,14.3499140446501,2,0.274151436031332,1,0,0.686013445849669
"QB","Cam Newton (7852135)","Cam Newton",7852135,6600,"Car@Sea 08:30PM ET","Car","Cam","Newton","Sea",19.04,18.7,12.5,18.2004805136673,18.749812379929,0,0,1,0,NA
"TE","Rob Gronkowski (7852421)","Rob Gronkowski",7852421,6500,"LA@NE 01:00PM ET","NE","Rob","Gronkowski","LA",0,0,0,0,0,4,0.10379746835443,1,0,NA
"QB","Derek Carr (7852114)","Derek Carr",7852114,6500,"Buf@Oak 04:05PM ET","Oak","Derek","Carr","Buf",19.73,17.7,20.8,17.9728043212034,18.5262142977013,0,0,1,0,NA
"QB","Philip Rivers (7852129)","Philip Rivers",7852129,6500,"TB@SD 04:25PM ET","SD","Philip","Rivers","TB",18.84,19.1,16.8,18.3247245533837,18.8739136090763,0,0,1,0,NA
"RB","Spencer Ware (7852141)","Spencer Ware",7852141,6400,"KC@Atl 01:00PM ET","KC","Spencer","Ware","Atl",14.64,15,20.2,14.3231341059318,14.75138289714,6,0.0763546798029557,1,0,5.94628577547951
"WR","Brandin Cooks (7852274)","Brandin Cooks",7852274,6400,"Det@NO 01:00PM ET","NO","Brandin","Cooks","Det",18.68,14.5,14.7,15.8221422503602,16.3247953845362,2,0.167391304347826,1,0,10.3757256698768
"QB","Kirk Cousins (7852126)","Kirk Cousins",7852126,6400,"Was@Ari 04:25PM ET","Was","Kirk","Cousins","Ari",19.03,18,18.8,17.825915515439,18.3684468256023,0,0,1,0,NA
"TE","Jordan Reed (7852478)","Jordan Reed",7852478,6400,"Was@Ari 04:25PM ET","Was","Jordan","Reed","Ari",0,0,0,0,0,1,0.183628318584071,1,0,NA
"WR","Davante Adams (7852308)","Davante Adams",7852308,6300,"Hou@GB 01:00PM ET","GB","Davante","Adams","Hou",14.57,11.9,2.7,12.653122118869,13.0507505563132,2,0.193617021276596,1,0,3.91479371096289
"QB","Russell Wilson (7852136)","Russell Wilson",7852136,6300,"Car@Sea 08:30PM ET","Sea","Russell","Wilson","Car",19.56,20.4,17,19.3265148001086,19.9020706942132,11,0.00571428571428571,1,0,14.4545628040639
"WR","Golden Tate (7852270)","Golden Tate",7852270,6200,"Det@NO 01:00PM ET","Det","Golden","Tate","NO",16.31,21.8,31.5,18.6483086106492,19.1734238060526,1,0.223880597014925,1,0,10.8301996375599
"QB","Jameis Winston (7852132)","Jameis Winston",7852132,6200,"TB@SD 04:25PM ET","TB","Jameis","Winston","SD",18.41,19.8,16.3,18.5072320831707,19.0546044482353,0,0,1,0,NA
"WR","Kelvin Benjamin (7852402)","Kelvin Benjamin",7852402,6200,"Car@Sea 08:30PM ET","Car","Kelvin","Benjamin","Sea",13.78,11.601,3.8,12.1496344974117,12.5289604702309,2,0.2175,1,0,0.137620309332052
"RB","Devonta Freeman (7852143)","Devonta Freeman",7852143,6100,"KC@Atl 01:00PM ET","Atl","Devonta","Freeman","KC",15,15.1,26.5,14.5331577569085,14.9694005526512,3,0.114285714285714,1,0,4.43399704497716
"QB","Colin Kaepernick (7852106)","Colin Kaepernick",7852106,6100,"SF@Chi 01:00PM ET","SF","Colin","Kaepernick","Chi",19.73,20,2.2,19.1891759329985,19.7642870981227,0,0,1,0,NA
"WR","Tyrell Williams (7852393)","Tyrell Williams",7852393,6100,"TB@SD 04:25PM ET","SD","Tyrell","Williams","TB",14.39,14.3,12.7,13.8438104885537,14.2605584072673,1,0.2,1,0,7.33680544093522
"RB","Mark Ingram (7852150)","Mark Ingram",7852150,6000,"Det@NO 01:00PM ET","NO","Mark","Ingram","Det",13.64,13.201,10.3,12.934696858939,13.3263774595715,5,0.0782608695652174,1,0,4.62127996885724
"WR","DeAndre Hopkins (7852305)","DeAndre Hopkins",7852305,6000,"Hou@GB 01:00PM ET","Hou","DeAndre","Hopkins","GB",13.7,13.901,14.8,13.3310865694902,13.7305469588036,1,0.26865671641791,1,0,4.54663286961927
"WR","Alshon Jeffery (7852340)","Alshon Jeffery",7852340,6000,"SF@Chi 01:00PM ET","Chi","Alshon","Jeffery","SF",0,0,0,0,0,1,0.179611650485437,1,0,NA
"WR","Michael Crabtree (7852349)","Michael Crabtree",7852349,6000,"Buf@Oak 04:05PM ET","Oak","Michael","Crabtree","Buf",16.23,13.5,20.4,14.2238741240198,14.6691095622486,2,0.245495495495495,1,0,9.5109350444487
"QB","Carson Palmer (7852123)","Carson Palmer",7852123,6000,"Was@Ari 04:25PM ET","Ari","Carson","Palmer","Was",18.17,19.2,26.9,18.0851591305091,18.6221699995359,0,0,1,0,NA
"WR","Emmanuel Sanders (7852290)","Emmanuel Sanders",7852290,5900,"Den@Jax 01:00PM ET","Den","Emmanuel","Sanders","Jax",14.02,13.101,6.2,13.0476789503409,13.4458581886604,1,0.279373368146214,1,0,2.75391268169625
"QB","Eli Manning (7852117)","Eli Manning",7852117,5900,"NYG@Pit 04:25PM ET","NYG","Eli","Manning","Pit",18.56,18.7,13.7,17.9909632753677,18.530894508837,0,0,1,0,NA
"RB","Thomas Rawls (7852251)","Thomas Rawls",7852251,5900,"Car@Sea 08:30PM ET","Sea","Thomas","Rawls","Car",12.74,12.5,27.8,12.1716519813635,12.5391016859284,8,0.0314285714285714,0,0,-0.0804739289722778
"RB","Theo Riddick (7852151)","Theo Riddick",7852151,5800,"Det@NO 01:00PM ET","Det","Theo","Riddick","NO",18.15,16.7,12.7,16.7542861892809,17.267317116768,4,0.156716417910448,1,0,12.2046746277766
"WR","Allen Robinson (7852301)","Allen Robinson",7852301,5800,"Den@Jax 01:00PM ET","Jax","Allen","Robinson","Den",13.12,14.102,6.1,13.1836913510488,13.5736797022853,1,0.247240618101545,1,0,1.24969929902011
"WR","Jamison Crowder (7852379)","Jamison Crowder",7852379,5800,"Was@Ari 04:25PM ET","Was","Jamison","Crowder","Ari",13.63,14,13.2,13.3534176944901,13.7524506881283,3,0.168141592920354,1,0,8.13768133349164
"WR","Jordan Matthews (7852317)","Jordan Matthews",7852317,5700,"Phi@Cin 01:00PM ET","Phi","Jordan","Matthews","Cin",0,0,0,0,0,1,0.235142118863049,1,0,NA
"WR","Steve Smith Sr. (7852325)","Steve Smith",7852325,5700,"Mia@Bal 01:00PM ET","Bal","Steve","Smith","Mia",13.07,13,11.3,12.5801236939543,12.9587539832653,3,0.155555555555556,1,0,2.68127566396844
"QB","Tyrod Taylor (7852111)","Tyrod Taylor",7852111,5700,"Buf@Oak 04:05PM ET","Buf","Tyrod","Taylor","Oak",18.83,18.3,14.6,17.8972738329034,18.4387188025573,0,0,1,0,NA
"RB","DeAngelo Williams (7852219)","DeAngelo Williams",7852219,5700,"NYG@Pit 04:25PM ET","Pit","DeAngelo","Williams","NYG",0,0,0,0,0,6,0.0528735632183908,0,0,NA
"RB","Doug Martin (7852237)","Doug Martin",7852237,5700,"TB@SD 04:25PM ET","TB","Doug","Martin","SD",13.39,11,13.8,11.6620874077815,12.0281141868153,8,0.0306603773584906,1,0,7.11756043126487
"RB","Lamar Miller (7852178)","Lamar Miller",7852178,5600,"Hou@GB 01:00PM ET","Hou","Lamar","Miller","GB",13.65,12.601,2.8,12.6217474678918,13.0079627353992,5,0.0895522388059701,1,0,1.33299937275976
"WR","DeVante Parker (7852331)","DeVante Parker",7852331,5600,"Mia@Bal 01:00PM ET","Mia","DeVante","Parker","Bal",11.75,11.901,12.4,11.4222083438589,11.7646080636479,2,0.192771084337349,1,0,0.391195500359414
"RB","LeGarrette Blount (7852160)","LeGarrette Blount",7852160,5500,"LA@NE 01:00PM ET","NE","LeGarrette","Blount","LA",11.22,9.001,14.8,9.65718044792951,9.96183793407573,9,0.0177215189873418,1,0,2.85215675262078
"QB","Ryan Tannehill (7852104)","Ryan Tannehill",7852104,5500,"Mia@Bal 01:00PM ET","Mia","Ryan","Tannehill","Bal",16.69,15.3,10,15.3766044779255,15.8478323948386,0,0,1,0,NA
"WR","Sammy Watkins (7852356)","Sammy Watkins",7852356,5500,"Buf@Oak 04:05PM ET","Buf","Sammy","Watkins","Oak",11.94,15.001,6.8,13.1445996404966,13.5199698722477,7,0.0404984423676012,0,0,5.43239623245933
"TE","Jimmy Graham (7852491)","Jimmy Graham",7852491,5500,"Car@Sea 08:30PM ET","Sea","Jimmy","Graham","Car",14.57,12.3,18.3,12.8646650078768,13.2660675650821,2,0.205714285714286,1,0,16.7035467824677
"QB","Alex Smith (7852071)","Alex Smith",7852071,5400,"KC@Atl 01:00PM ET","KC","Alex","Smith","Atl",16.07,20,13.5,17.5916069909641,18.0950383310464,15,0.00246305418719212,1,0,1.69520953163277
"WR","Randall Cobb (7852303)","Randall Cobb",7852303,5400,"Hou@GB 01:00PM ET","GB","Randall","Cobb","Hou",13.49,11.302,10.9,11.8643939991831,12.2352098332029,3,0.174468085106383,1,0,0.449763704020005
"WR","Jarvis Landry (7852330)","Jarvis Landry",7852330,5400,"Mia@Bal 01:00PM ET","Mia","Jarvis","Landry","Bal",14.84,14.2,19.6,13.9873471772076,14.4119646592238,1,0.27710843373494,1,0,1.45398399218096
"RB","Latavius Murray (7852213)","Latavius Murray",7852213,5400,"Buf@Oak 04:05PM ET","Oak","Latavius","Murray","Buf",14.9,13.202,25.5,13.4846796094754,13.9010368711879,5,0.0788288288288288,1,0,4.52767749906722
"WR","Jeremy Maclin (7852257)","Jeremy Maclin",7852257,5300,"KC@Atl 01:00PM ET","KC","Jeremy","Maclin","Atl",0,0,0,0,0,4,0.137931034482759,1,0,NA
"QB","Carson Wentz (7852100)","Carson Wentz",7852100,5300,"Phi@Cin 01:00PM ET","Phi","Carson","Wentz","Cin",16.16,15.6,19.6,15.303919694059,15.7675983354179,0,0,1,0,NA
"TE","Tyler Eifert (7852442)","Tyler Eifert",7852442,5300,"Phi@Cin 01:00PM ET","Cin","Tyler","Eifert","Phi",15.56,14.4,10.5,14.4073944791609,14.8479999702462,5,0.0861244019138756,0,0,5.32595002453512
"QB","Joe Flacco (7852102)","Joe Flacco",7852102,5300,"Mia@Bal 01:00PM ET","Bal","Joe","Flacco","Mia",17.96,14.8,33.2,15.6665235596667,16.157906334475,0,0,1,0,NA
"RB","Carlos Hyde (7852203)","Carlos Hyde",7852203,5300,"SF@Chi 01:00PM ET","SF","Carlos","Hyde","Chi",15.57,14.1,10.8,14.2531022548696,14.6910730026506,6,0.0670391061452514,1,0,10.119648339871
"RB","Ameer Abdullah (7852155)","Ameer Abdullah",7852155,5200,"Det@NO 01:00PM ET","Det","Ameer","Abdullah","NO",0,0,0,0,0,8,0.0124378109452736,0,0,NA
"QB","Brock Osweiler (7852093)","Brock Osweiler",7852093,5200,"Hou@GB 01:00PM ET","Hou","Brock","Osweiler","GB",15.06,15.6,17.3,14.8237760229557,15.2659115474988,14,0.00248756218905473,1,0,0.536711528244899
"QB","Andy Dalton (7852097)","Andy Dalton",7852097,5200,"Phi@Cin 01:00PM ET","Cin","Andy","Dalton","Phi",18.26,17.6,25.2,17.2782720566589,17.80194906529,0,0,1,0,NA
"WR","Dontrelle Inman (7852383)","Dontrelle Inman",7852383,5200,"TB@SD 04:25PM ET","SD","Dontrelle","Inman","TB",9.91,9.3,12.9,9.2440301518261,9.52586233413059,2,0.175308641975309,0,0,6.46054906240076
"RB","Jonathan Stewart (7852247)","Jonathan Stewart",7852247,5200,"Car@Sea 08:30PM ET","Car","Jonathan","Stewart","Sea",11.48,10.5,5.3,10.5639547857879,10.8878572304674,8,0.035,1,0,0.862202174730887
"WR","Willie Snead (7852273)","Willie Snead",7852273,5100,"Det@NO 01:00PM ET","NO","Willie","Snead","Det",14.24,13.2,5.8,13.1965934068135,13.6000247984365,3,0.156521739130435,1,0,10.7235529940103
"QB","Trevor Siemian (7852087)","Trevor Siemian",7852087,5100,"Den@Jax 01:00PM ET","Den","Trevor","Siemian","Jax",0,0,0,0,0,0,0,1,0,NA
"RB","Devontae Booker (7852175)","Devontae Booker",7852175,5100,"Den@Jax 01:00PM ET","Den","Devontae","Booker","Jax",14.59,14.801,10.7,14.195537949105,14.6209204478501,5,0.0704960835509138,0,0,7.68955718525868
"RB","C.J. Prosise (7852252)","C.J. Prosise",7852252,5100,"Car@Sea 08:30PM ET","Sea","C.J.","Prosise","Car",0,0,0,0,0,6,0.0571428571428571,1,0,NA
"TE","Greg Olsen (7852490)","Greg Olsen",7852490,5100,"Car@Sea 08:30PM ET","Car","Greg","Olsen","Sea",14.34,15.401,6,14.4037287210024,14.8298762364764,1,0.2325,1,0,3.18274832270346
"QB","Matt Schaub (7852072)","Matt Schaub",7852072,5000,"KC@Atl 01:00PM ET","Atl","Matt","Schaub","KC",0,0,0,0,0,0,0,1,0,NA
"QB","Nick Foles (7852073)","Nick Foles",7852073,5000,"KC@Atl 01:00PM ET","KC","Nick","Foles","Atl",0,0,0,0,0,0,0,1,0,NA
"QB","Tyler Bray (7852074)","Tyler Bray",7852074,5000,"KC@Atl 01:00PM ET","KC","Tyler","Bray","Atl",0,0,0,0,0,0,0,1,0,NA
"QB","Dan Orlovsky (7852076)","Dan Orlovsky",7852076,5000,"Det@NO 01:00PM ET","Det","Dan","Orlovsky","NO",0,0,0,0,0,0,0,1,0,NA
"QB","Luke McCown (7852077)","Luke McCown",7852077,5000,"Det@NO 01:00PM ET","NO","Luke","McCown","Det",0,0,0,0,0,0,0,1,0,NA
"QB","Jake Rudock (7852079)","Jake Rudock",7852079,5000,"Det@NO 01:00PM ET","Det","Jake","Rudock","NO",0,0,0,0,0,0,0,1,0,NA
"QB","Case Keenum (7852081)","Case Keenum",7852081,5000,"LA@NE 01:00PM ET","LA","Case","Keenum","NE",0,0,0,0,0,0,0,1,0,NA
"QB","Jimmy Garoppolo (7852082)","Jimmy Garoppolo",7852082,5000,"LA@NE 01:00PM ET","NE","Jimmy","Garoppolo","LA",0,0,0,0,0,13,0.00253164556962025,1,0,NA
"QB","Sean Mannion (7852083)","Sean Mannion",7852083,5000,"LA@NE 01:00PM ET","LA","Sean","Mannion","NE",0,0,0,0,0,0,0,1,0,NA
"QB","Jared Goff (7852084)","Jared Goff",7852084,5000,"LA@NE 01:00PM ET","LA","Jared","Goff","NE",14.76,13.3,8.3,13.4764561372234,13.891015077645,0,0,1,0,NA
"RB","Todd Gurley (7852167)","Todd Gurley",7852167,5000,"LA@NE 01:00PM ET","LA","Todd","Gurley","NE",13.13,12.602,6.7,12.3947704597339,12.7708017083829,5,0.109042553191489,1,0,1.24503332529998
"WR","Kenny Britt (7852281)","Kenny Britt",7852281,5000,"LA@NE 01:00PM ET","LA","Kenny","Britt","NE",14.71,11.5,14.7,12.5026884243652,12.8992845932794,1,0.228723404255319,1,1,3.56723566414838
"QB","Chad Henne (7852085)","Chad Henne",7852085,5000,"Den@Jax 01:00PM ET","Jax","Chad","Henne","Den",0,0,0,0,0,0,0,1,0,NA
"QB","Austin Davis (7852086)","Austin Davis",7852086,5000,"Den@Jax 01:00PM ET","Den","Austin","Davis","Jax",0,0,0,0,0,0,0,1,0,NA
"QB","Blake Bortles (7852088)","Blake Bortles",7852088,5000,"Den@Jax 01:00PM ET","Jax","Blake","Bortles","Den",17.79,15.7,13.1,16.0682910380366,16.5648361915266,0,0,1,0,NA
"QB","Brandon Allen (7852089)","Brandon Allen",7852089,5000,"Den@Jax 01:00PM ET","Jax","Brandon","Allen","Den",0,0,0,0,0,0,0,1,0,NA
"QB","Paxton Lynch (7852090)","Paxton Lynch",7852090,5000,"Den@Jax 01:00PM ET","Den","Paxton","Lynch","Jax",14.96,14.2,5.3,14.0397264867825,14.4666941269968,0,0,1,0,NA
"QB","Brandon Weeden (7852092)","Brandon Weeden",7852092,5000,"Hou@GB 01:00PM ET","Hou","Brandon","Weeden","GB",0,0,0,0,0,0,0,1,0,NA
"QB","Tom Savage (7852094)","Tom Savage",7852094,5000,"Hou@GB 01:00PM ET","Hou","Tom","Savage","GB",0,0,0,0,0,0,0,1,0,NA
"QB","Brett Hundley (7852095)","Brett Hundley",7852095,5000,"Hou@GB 01:00PM ET","GB","Brett","Hundley","Hou",0,0,0,0,0,0,0,1,0,NA
"QB","Chase Daniel (7852096)","Chase Daniel",7852096,5000,"Phi@Cin 01:00PM ET","Phi","Chase","Daniel","Cin",0,0,0,0,0,0,0,1,0,NA
"QB","AJ McCarron (7852098)","AJ McCarron",7852098,5000,"Phi@Cin 01:00PM ET","Cin","AJ","McCarron","Phi",0,0,0,0,0,0,0,1,0,NA
"QB","Jeff Driskel (7852099)","Jeff Driskel",7852099,5000,"Phi@Cin 01:00PM ET","Cin","Jeff","Driskel","Phi",0,0,0,0,0,0,0,1,0,NA
"QB","Matt Moore (7852101)","Matt Moore",7852101,5000,"Mia@Bal 01:00PM ET","Mia","Matt","Moore","Bal",0,0,0,0,0,0,0,1,0,NA
"QB","Ryan Mallett (7852103)","Ryan Mallett",7852103,5000,"Mia@Bal 01:00PM ET","Bal","Ryan","Mallett","Mia",0,0,-0.1,0,0,0,0,1,0,NA
"WR","Mike Wallace (7852327)","Mike Wallace",7852327,5000,"Mia@Bal 01:00PM ET","Bal","Mike","Wallace","Mia",13.95,11.3,11.9,12.0651813525535,12.4450061263327,1,0.2,1,1,2.2700467309082
"QB","Jay Cutler (7852105)","Jay Cutler",7852105,5000,"SF@Chi 01:00PM ET","Chi","Jay","Cutler","SF",0,0,0,0,0,0,0,1,0,NA
"QB","Christian Ponder (7852107)","Christian Ponder",7852107,5000,"SF@Chi 01:00PM ET","SF","Christian","Ponder","Chi",0,0,0,0,0,0,0,1,0,NA
"QB","Blaine Gabbert (7852108)","Blaine Gabbert",7852108,5000,"SF@Chi 01:00PM ET","SF","Blaine","Gabbert","Chi",0,0,1.5,0,0,14,0.00279329608938547,1,0,NA
"QB","Matt Barkley (7852109)","Matt Barkley",7852109,5000,"SF@Chi 01:00PM ET","Chi","Matt","Barkley","SF",16.26,16.7,8,15.9293120634763,16.4053279993433,0,0,1,0,NA
"QB","David Fales (7852110)","David Fales",7852110,5000,"SF@Chi 01:00PM ET","Chi","David","Fales","SF",0,0,0,0,0,0,0,1,0,NA
"QB","EJ Manuel (7852112)","EJ Manuel",7852112,5000,"Buf@Oak 04:05PM ET","Buf","EJ","Manuel","Oak",0,0,0,0,0,0,0,1,0,NA
"QB","Matt McGloin (7852113)","Matt McGloin",7852113,5000,"Buf@Oak 04:05PM ET","Oak","Matt","McGloin","Buf",0,0,0,0,0,0,0,1,0,NA
"QB","Connor Cook (7852115)","Connor Cook",7852115,5000,"Buf@Oak 04:05PM ET","Oak","Connor","Cook","Buf",0,0,0,0,0,0,0,1,0,NA
"QB","Cardale Jones (7852116)","Cardale Jones",7852116,5000,"Buf@Oak 04:05PM ET","Buf","Cardale","Jones","Oak",0,0,0,0,0,0,0,1,0,NA
"QB","Josh Johnson (7852119)","Josh Johnson",7852119,5000,"NYG@Pit 04:25PM ET","NYG","Josh","Johnson","Pit",0,0,0,0,0,0,0,1,0,NA
"QB","Landry Jones (7852120)","Landry Jones",7852120,5000,"NYG@Pit 04:25PM ET","Pit","Landry","Jones","NYG",0,0,-0.1,0,0,0,0,1,0,NA
"QB","Ryan Nassib (7852121)","Ryan Nassib",7852121,5000,"NYG@Pit 04:25PM ET","NYG","Ryan","Nassib","Pit",0,0,0,0,0,0,0,1,0,NA
"QB","Zach Mettenberger (7852122)","Zach Mettenberger",7852122,5000,"NYG@Pit 04:25PM ET","Pit","Zach","Mettenberger","NYG",0,0,0,0,0,0,0,0,0,NA
"QB","Drew Stanton (7852124)","Drew Stanton",7852124,5000,"Was@Ari 04:25PM ET","Ari","Drew","Stanton","Was",0,0,0,0,0,0,0,1,0,NA
"QB","Colt McCoy (7852125)","Colt McCoy",7852125,5000,"Was@Ari 04:25PM ET","Was","Colt","McCoy","Ari",0,0,0,0,0,0,0,1,0,NA
"QB","Nate Sudfeld (7852127)","Nate Sudfeld",7852127,5000,"Was@Ari 04:25PM ET","Was","Nate","Sudfeld","Ari",0,0,0,0,0,0,0,1,0,NA
"WR","DeSean Jackson (7852372)","DeSean Jackson",7852372,5000,"Was@Ari 04:25PM ET","Was","DeSean","Jackson","Ari",11.92,13.4,6.9,12.2896981995361,12.6495802592098,3,0.168141592920354,1,1,0.906783551178731
"QB","Kellen Clemens (7852128)","Kellen Clemens",7852128,5000,"TB@SD 04:25PM ET","SD","Kellen","Clemens","TB",0,0,0,0,0,0,0,1,0,NA
"QB","Mike Glennon (7852130)","Mike Glennon",7852130,5000,"TB@SD 04:25PM ET","TB","Mike","Glennon","SD",0,0,0,0,0,0,0,1,0,NA
"QB","Ryan Griffin (7852131)","Ryan Griffin",7852131,5000,"TB@SD 04:25PM ET","TB","Ryan","Griffin","SD",0,0,0,0,0,0,0,1,0,0.146438501626445
"QB","Derek Anderson (7852133)","Derek Anderson",7852133,5000,"Car@Sea 08:30PM ET","Car","Derek","Anderson","Sea",0,0,-1,0,0,0,0,1,0,NA
"QB","Joe Webb (7852134)","Joe Webb",7852134,5000,"Car@Sea 08:30PM ET","Car","Joe","Webb","Sea",0,0,0,0,0,10,0.0025,1,0,NA
"QB","Trevone Boykin (7852137)","Trevone Boykin",7852137,5000,"Car@Sea 08:30PM ET","Sea","Trevone","Boykin","Car",0,0,1.6,0,0,0,0,1,0,NA
"RB","Charcandrick West (7852145)","Charcandrick West",7852145,4900,"KC@Atl 01:00PM ET","KC","Charcandrick","West","Atl",6.22,4.602,0,5.14773743655578,5.31295634707614,7,0.0738916256157636,0,0,-0.478778767085667
"WR","Sterling Shepard (7852369)","Sterling Shepard",7852369,4900,"NYG@Pit 04:25PM ET","NYG","Sterling","Shepard","Pit",10.36,13.6,12.1,11.7145386195663,12.0457556825453,2,0.172169811320755,1,1,1.46300312776243
"RB","Tim Hightower (7852146)","Tim Hightower",7852146,4800,"Det@NO 01:00PM ET","NO","Tim","Hightower","Det",11.79,10.6,1.9,10.7521537244417,11.0830709410732,8,0.041304347826087,1,0,4.75230995593276
