"Carlos Correa_HOU","Jose Altuve_HOU","George Springer_HOU","Francisco Lindor_CLE","Jose Ramirez_CLE","Elvis Andrus_TEX","Marwin Gonzalez_HOU","Edwin Encarnacion_CLE","Ryan Braun_MIL","Cody Bellinger_LAD","Joey Gallo_TEX","Shin-Soo Choo_TEX","Michael Brantley_CLE","Carlos Santana_CLE","Domingo Santana_MIL","Corey Seager_LAD","Carlos Beltran_HOU","Alex Bregman_HOU","Nomar Mazara_TEX","Mike Moustakas_KC","Jason Kipnis_CLE","Josh Reddick_HOU","Adrian Beltre_TEX","Evan Gattis_HOU","Chase Utley_LAD","Logan Forsythe_LAD","Eric Thames_MIL","Travis Shaw_MIL","Chris Taylor_LAD","Carlos Gomez_TEX","Whit Merrifield_KC","Adrian Gonzalez_LAD","Justin Turner_LAD","Joc Pederson_LAD","Mike Napoli_TEX","Eric Hosmer_KC","Yasmani Grandal_LAD","Kike Hernandez_LAD","Salvador Perez_KC","Jorge Bonifacio_KC","Bradley Zimmer_CLE","Brian McCann_HOU","Brandon Moss_KC","Lorenzo Cain_KC","Franklin Gutierrez_LAD","Peter O'Brien_TEX","Lonnie Chisenhall_CLE","Tyler Naquin_CLE","Hernan Perez_MIL","Andrew Toles_LAD","Austin Barnes_LAD","Yasiel Puig_LAD","Jonathan Lucroy_TEX","Rougned Odor_TEX","Yuli Gurriel_HOU","Jorge Soler_KC","Keon Broxton_MIL","Jonathan Villar_MIL","Norichika Aoki_HOU","Jake Marisnick_HOU","Delino DeShields_TEX","Jurickson Profar_TEX","Paulo Orlando_KC","Abraham Almonte_CLE","Billy Burns_KC","Cheslor Cuthbert_KC","Nick Franklin_MIL","Jesus Aguilar_MIL","Robinson Chirinos_TEX","Brandon Guyer_CLE","Trayce Thompson_LAD","Derek Fisher_HOU","Austin Jackson_CLE","Yan Gomes_CLE","Scott Van Slyke_LAD","Eric Sogard_MIL","Rob Segedin_LAD","Jett Bandy_MIL","Orlando Arcia_MIL","Pete Kozma_TEX","Brett Nicholas_TEX","Alcides Escobar_KC","Giovanny Urshela_CLE","Erik Gonzalez_CLE","Ryan O'Hearn_KC","Andre Ethier_LAD","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Ryan Rua_TEX","Terrance Gore_KC","Yandy Diaz_CLE","Jared Hoying_TEX","Hanser Alberto_TEX","Mike Freeman_LAD","Drew Stubbs_TEX","Alex Gordon_KC","Raul Mondesi_KC","Roberto Perez_CLE","Daniel Robertson_CLE","Brett Eibner_LAD","Juan Centeno_HOU","Tony Kemp_HOU","Drew Robinson_TEX","Drew Butera_KC"
0,0,0,0,0,48,0,0,0,0,49,42,0,0,0,0,0,0,45,0,0,0,3,0,0,0,0,0,0,34,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,49,0,0,0,0,0,0,30,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,43,0,0,0,0,42,44,0,0,0,0,0,0,38,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,44,0,0,0,0,0,0,25,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,36,0,0,37,0,0,0,0,38,38,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0,0,10,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,14,0,0,0,0,0
0,0,0,45,43,0,0,45,0,0,0,0,38,46,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,15,0,0,15,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,16,14,0,0,0,0,0
0,0,0,0,0,0,0,0,22,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,33,36,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,6,0,22,33,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,47,0,0,0,0,0,0,0,0,28,17,0,0,24,0,0,31,32,22,0,0,37,0,0,0,0,0,0,0,7,0,0,0,0,17,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
36,39,36,0,0,0,23,0,0,0,0,0,0,0,0,0,40,36,0,0,0,32,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,43,40,0,0,0,27,0,0,0,0,0,0,0,0,0,36,45,0,0,0,36,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,44,0,0,0,0,45,38,0,0,0,0,0,0,45,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,45,0,0,0,0,0,0,26,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,41,0,0,38,25,0,0,32,39,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10,0,0,0,0,0,0,6
0,0,0,31,31,0,0,31,0,0,0,0,28,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,0,7,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,13,0,0,0,0,0
35,38,34,0,0,0,23,0,0,0,0,0,0,0,0,0,32,36,0,0,0,40,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
27,29,27,0,0,0,21,0,0,0,0,0,0,0,0,0,21,29,0,0,0,23,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,28,0,0,0,0,0,0,0,0,29,7,0,0,16,0,0,22,16,15,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,12,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,7,18,0,0,6,0,0,15,10,7,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,25,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,33,38,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,4,0,24,37,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,38,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,34,39,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,5,0,24,39,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,24,0,0,0,0,0,0,0,0,16,6,0,0,28,0,0,13,14,11,0,0,19,0,0,0,0,0,0,0,5,0,0,0,0,4,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,35,0,0,0,0,34,31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,0,0,0,0,0,0,20,12,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,0,0,31,26,0,0,20,32,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,31,0,0,0,0,0,0,0,0,22,15,0,0,13,0,0,33,20,13,0,0,29,0,0,0,0,0,0,0,3,0,0,0,0,15,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,32,0,0,0,0,0,0,0,0,16,10,0,0,14,0,0,20,35,20,0,0,26,0,0,0,0,0,0,0,6,0,0,0,0,16,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,15,7,0,0,11,0,0,13,20,24,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,11,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,43,0,0,0,0,42,37,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,44,0,0,0,0,0,0,28,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,48,0,0,45,28,0,0,32,46,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,37,0,0,0,0,0,0,0,0,27,14,0,0,19,0,0,29,26,20,0,0,39,0,0,0,0,0,0,0,2,0,0,0,0,18,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,45,0,0,45,27,0,0,29,44,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,28,0,0,27,28,0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,6
0,0,0,8,7,0,0,7,0,0,0,0,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0
27,27,23,0,0,0,19,0,0,0,0,0,0,0,0,0,23,25,0,0,0,25,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,32,0,0,29,17,0,0,32,31,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,46,0,0,44,26,0,0,31,46,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,6,2,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,22,0,0,23,0,0,0,0,21,23,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,6,0,0,0,0,0
0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,17,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,25,30,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,5,0,19,28,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,12,4,0,0,4,0,0,15,16,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4,0,0,9,0,0,4,9,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,42,0,0,0,0,0,0,0,0,26,16,0,0,24,0,0,30,33,23,0,0,36,0,0,0,0,0,0,0,6,0,0,0,0,17,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,38,0,0,0,0,36,32,0,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,24,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,50,0,0,0,0,49,44,0,0,0,0,0,0,45,0,0,0,3,0,0,0,0,0,0,36,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,51,0,0,0,0,0,0,32,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
